variant,m,fp32,fp64,fp64_over_fp32
adam_only,8,0.24972347915172577,0.18062934349575738,0.72331742337296
adam_only,9,0.6103802919387817,0.5025544211868497,0.8233464084997907
adam_only,10,0.5799353420734406,0.7162463689923662,1.2350452145778412
adam_only,11,0.6959944069385529,0.6644842815818902,0.9547264675656444
adam_only,12,0.7711652219295502,0.6354127061250652,0.8239644217035417
base_2k,8,0.005319579970091581,0.5005469567780807,94.09520292811075
base_2k,9,0.5036407802253962,0.5781763795044393,1.1479935743997656
base_2k,10,1.0000163614749908,0.9888148849943763,0.9887987067890642
base_2k,11,1.0000382363796234,0.9556324552699178,0.9555959167416787
base_2k,12,1.0001896023750305,1.0002138901608468,1.0000242831816675
more_points_soft,8,0.009188967058435082,0.023949779999331424,2.6063625919027036
more_points_soft,9,0.3216434005298652,0.2982825821384338,0.9273704408268675
more_points_soft,10,0.789873331785202,0.873874734936602,1.106347941842203
more_points_soft,11,0.8238373398780823,0.91782062059764,1.114079899235286
more_points_soft,12,0.9936592876911163,0.8922953162148053,0.8979892074356371
resample_100_soft,8,0.4842431533616036,0.35653945318132185,0.736281867293805
resample_100_soft,9,0.8667227327823639,0.38569215246001504,0.4450006188505768
resample_100_soft,10,0.038796855602413416,0.4724389776993275,12.177249170418305
resample_100_soft,11,0.6195481568574905,0.9208200545496547,1.4862768040829846
resample_100_soft,12,0.9421449601650238,0.8905449009683568,0.9452312952057518
resample_2k,8,0.49979674903443083,0.9655925334747055,1.9319704166546834
resample_2k,9,0.9101124703884125,0.5010675589562554,0.550555645877935
resample_2k,10,0.7145734429359436,0.9841810144416369,1.3772986166375927
resample_2k,11,0.9998898804187775,0.9851772498985104,0.9852857491525916
resample_2k,12,1.000018835067749,1.0023016171526695,1.0022827390893752
resample_5k,8,0.4196427436545491,0.8357008852020027,1.991457967136812
resample_5k,9,0.6637359857559204,0.7737521724714718,1.1657529335105363
resample_5k,10,0.845535010099411,0.4269578387515962,0.5049558370166104
resample_5k,11,0.8971443176269531,0.8430182004375846,0.9396684389279328
resample_5k,12,0.587784931063652,0.8840779469495254,1.5040840624302894
soft_lbfgs,8,0.41430659336037934,0.8357008852020027,2.017107375539831
soft_lbfgs,9,0.00805676868185401,0.7737521724714718,96.03753105313397
soft_lbfgs,10,0.4684511683881283,0.025462110616578364,0.054353820280115324
soft_lbfgs,11,0.8971443176269531,0.8430182004375846,0.9396684389279328
soft_lbfgs,12,0.9644711315631866,0.884125422801223,0.916694542602077
softer_lbfgs,8,0.4168632044456899,0.8357008852020027,2.004736508978403
softer_lbfgs,9,0.018840676173567772,0.3321231518911039,17.627984730030594
softer_lbfgs,10,0.845535010099411,0.07365927038022305,0.08711557712029311
softer_lbfgs,11,0.8971443176269531,0.8430182004375846,0.9396684389279328
softer_lbfgs,12,0.9644711315631866,0.8841473372247735,0.9167172643019115
