task_name,dtype,seed,alpha,hid_size,num_layers,n_collocation,n_ic,n_bc,adam_steps,lbfgs_steps,final_loss,final_l2_error,time_sec,log_dir
heat1d,fp32,0,0.1,64,4,5000,500,500,8000,500,2.2018689378455747e-06,0.00037525297375395894,96.47497844696045,/kaggle/working/runs/heat1d_fp32_0
heat1d,fp32,1,0.1,64,4,5000,500,500,8000,500,1.4717136309627676e-06,0.000216530155739747,87.89068031311035,/kaggle/working/runs/heat1d_fp32_1
heat1d,fp32,2,0.1,64,4,5000,500,500,8000,500,7.952358828333672e-06,0.0005986809264868498,83.86953020095825,/kaggle/working/runs/heat1d_fp32_2
heat1d,fp64,0,0.1,64,4,5000,500,500,8000,500,7.1802057297391584e-06,0.0008299220745667345,162.50252771377563,/kaggle/working/runs/heat1d_fp64_0
heat1d,fp64,1,0.1,64,4,5000,500,500,8000,500,3.050856411033388e-06,0.00031067382397749623,165.2625916004181,/kaggle/working/runs/heat1d_fp64_1
heat1d,fp64,2,0.1,64,4,5000,500,500,8000,500,1.985004664197959e-06,0.0002769395990441863,165.3905792236328,/kaggle/working/runs/heat1d_fp64_2
