case_id,task,parameter,variant,dtype_comparison,n_seed_fp32,n_seed_fp64,fp32_median_best_l2,fp64_median_best_l2,ratio,bad_rate_fp32,bad_rate_fp64,label,status,comment,source_paths,case_key
helmholtz_m12_long,helmholtz1d,m=12,helmholtz_resample_long,FP32 vs FP64,2,2,0.012530514737591099,0.0021135880520116,0.1686752776141678,0.0,0.0,главный положительный пример,основной Helmholtz,В этом запуске есть по два валидных seed; медиана FP64 заметно ниже медианы FP32.,experiments_raw/final/final 2/runs/run019_helmholtz1d_helmholtz_resample_long_m12_fp32_s0; experiments_raw/final/final 2/runs/run020_helmholtz1d_helmholtz_resample_long_m12_fp32_s1; experiments_raw/final/final 2/runs/run021_helmholtz1d_helmholtz_resample_long_m12_fp64_s0; experiments_raw/final/final 2/runs/run022_helmholtz1d_helmholtz_resample_long_m12_fp64_s1,helmholtz1d|helmholtz_resample_long|m|12|128|4|5000|0|2|10000|1000||1|200
helmholtz_m12_rs,helmholtz1d,m=12,helmholtz_rs_m12,FP32 vs FP64,2,2,0.0021599326282738997,0.000833988761593,0.386117951400863,0.0,0.0,дополнительный чистый пример,основной Helmholtz,Ещё один устойчивый m=12 с ресемплированием; FP64 снова даёт меньшую медианную ошибку.,experiments_raw/results_exp_6_helmholtz1d_resampling_final/runs/helmholtz_rs_m12_fp32_0; experiments_raw/results_exp_6_helmholtz1d_resampling_final/runs/helmholtz_rs_m12_fp32_1; experiments_raw/results_exp_6_helmholtz1d_resampling_final/runs/helmholtz_rs_m12_fp64_0; experiments_raw/results_exp_6_helmholtz1d_resampling_final/runs/helmholtz_rs_m12_fp64_1,helmholtz1d|helmholtz_rs_m12|m|12|128|4|5000|0|2|10000|1000|||200
helmholtz_m12_resample128,helmholtz1d,m=12,resample_proven_128,FP32 vs FP64,2,2,0.00921341404318805,0.0021135880520116,0.2294033506042512,0.0,0.0,дополнительный чистый пример,основной Helmholtz,Похожая настройка с более длинным L-BFGS; вывод совпадает с основным m=12.,experiments_raw/results_exp_12_helmholts_more/results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r017_m12_resample_proven_128_fp32_s0; experiments_raw/results_exp_12_helmholts_more/results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r018_m12_resample_proven_128_fp32_s1; experiments_raw/results_exp_12_helmholts_more/results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r019_m12_resample_proven_128_fp64_s0; experiments_raw/results_exp_12_helmholts_more/results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r020_m12_resample_proven_128_fp64_s1,helmholtz1d|resample_proven_128|m|12|128|4|5000|0|2|10000|2000||1|200
helmholtz_m7_rs,helmholtz1d,m=7,helmholtz_rs_m7,FP32 vs FP64,2,2,0.00134821725077925,0.0005143762736539,0.3815232844384671,0.0,0.0,положительный пример,дополнительный Helmholtz,На меньшем m результат тоже чистый: оба dtype имеют по два валидных seed.,experiments_raw/results_exp_6_helmholtz1d_resampling_final/runs/helmholtz_rs_m7_fp32_0; experiments_raw/results_exp_6_helmholtz1d_resampling_final/runs/helmholtz_rs_m7_fp32_1; experiments_raw/results_exp_6_helmholtz1d_resampling_final/runs/helmholtz_rs_m7_fp64_0; experiments_raw/results_exp_6_helmholtz1d_resampling_final/runs/helmholtz_rs_m7_fp64_1,helmholtz1d|helmholtz_rs_m7|m|7|128|4|5000|0|2|10000|1000|||200
helmholtz_m8_rs,helmholtz1d,m=8,helmholtz_rs_m8,FP32 vs FP64,2,2,0.00253584620077155,0.0010388794492335,0.4096776251325546,0.0,0.0,положительный пример,дополнительный Helmholtz,"Это не старый unstable m=8, а более аккуратный rs-запуск без плохих seed.",experiments_raw/results_exp_6_helmholtz1d_resampling_final/runs/helmholtz_rs_m8_fp32_0; experiments_raw/results_exp_6_helmholtz1d_resampling_final/runs/helmholtz_rs_m8_fp32_1; experiments_raw/results_exp_6_helmholtz1d_resampling_final/runs/helmholtz_rs_m8_fp64_0; experiments_raw/results_exp_6_helmholtz1d_resampling_final/runs/helmholtz_rs_m8_fp64_1,helmholtz1d|helmholtz_rs_m8|m|8|128|4|5000|0|2|10000|1000|||200
helmholtz_m10_resample128,helmholtz1d,m=10,resample_proven_128,FP32 vs FP64,2,2,0.0029858662746846502,0.00151330790346355,0.5068237369817832,0.0,0.0,умеренный пример,дополнительный Helmholtz,"Вспомогательный Helmholtz-кейс: FP64 лучше, но не так резко, как на m=12.",experiments_raw/results_exp_12_helmholts_more/results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r009_m10_resample_proven_128_fp32_s0; experiments_raw/results_exp_12_helmholts_more/results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r010_m10_resample_proven_128_fp32_s1; experiments_raw/results_exp_12_helmholts_more/results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r011_m10_resample_proven_128_fp64_s0; experiments_raw/results_exp_12_helmholts_more/results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r012_m10_resample_proven_128_fp64_s1,helmholtz1d|resample_proven_128|m|10|128|4|5000|0|2|10000|2000||1|200
helmholtz_m11_rs,helmholtz1d,m=11,helmholtz_rs_m11,FP32 vs FP64,2,2,0.0019056165474466498,0.0009833265862458501,0.5160149283775988,0.0,0.0,умеренно положительный пример,дополнительный Helmholtz,"FP64 лучше по медиане, но отрыв меньше, чем на m=12.",experiments_raw/results_exp_6_helmholtz1d_resampling_final/runs/helmholtz_rs_m11_fp32_0; experiments_raw/results_exp_6_helmholtz1d_resampling_final/runs/helmholtz_rs_m11_fp32_1; experiments_raw/results_exp_6_helmholtz1d_resampling_final/runs/helmholtz_rs_m11_fp64_0; experiments_raw/results_exp_6_helmholtz1d_resampling_final/runs/helmholtz_rs_m11_fp64_1,helmholtz1d|helmholtz_rs_m11|m|11|128|4|5000|0|2|10000|1000|||200
