case_key,task_name,variant,main_parameter_name,main_parameter_value,hid_size,num_layers,n_collocation,n_ic,n_bc,adam_steps,lbfgs_steps,lr_adam,lbfgs_lr,resample_every,fp32_n_total,fp32_n_valid,fp32_n_bad,fp32_bad_rate,fp32_median_best_l2,fp32_min_best_l2,fp32_max_best_l2,fp32_source_paths,fp64_n_total,fp64_n_valid,fp64_n_bad,fp64_bad_rate,fp64_median_best_l2,fp64_min_best_l2,fp64_max_best_l2,fp64_source_paths,fp64_over_fp32_median
burgers1d|burgers|nu|0.002|256|4|10000|800|800|3000|2000||0.5|200,burgers1d,burgers,nu,0.002,256.0,4.0,10000.0,800.0,800.0,3000.0,2000.0,,0.5,200.0,1,1,0,0.0,0.0470239780843257,0.0470239780843257,0.0470239780843257,experiments_raw/results_exp_17_burgers1d_adam_lr_check/results_exp_17_burgers1d_adam_lr_check/runs/exp17_r015_nu0p002_adam5e4_lbfgs05_steps2000_inner5_resample200_fp32_s0,0,0,0,,,,,,
burgers1d|burgers|nu|0.002|256|4|10000|800|800|3000|2000||1|200,burgers1d,burgers,nu,0.002,256.0,4.0,10000.0,800.0,800.0,3000.0,2000.0,,1.0,200.0,2,2,0,0.0,0.0477750860154628,0.0477750860154628,0.0477750860154628,experiments_raw/results_exp_17_burgers1d_adam_lr_check/results_exp_17_burgers1d_adam_lr_check/runs/exp17_r013_nu0p002_adam5e4_lbfgs1_steps2000_inner5_resample200_fp32_s0; experiments_raw/results_exp_11_burgers1d_short_adam_long_lbfgs/results_exp_11_burgers1d_short_adam_long_lbfgs/runs/exp11_r003_nu0p002_adam3000_lbfgs5000_inner5_resample200_fp32_s0,2,2,0,0.0,0.0483794210626988,0.0483794210626988,0.0483794210626988,experiments_raw/results_exp_17_burgers1d_adam_lr_check/results_exp_17_burgers1d_adam_lr_check/runs/exp17_r014_nu0p002_adam5e4_lbfgs1_steps2000_inner5_resample200_fp64_s0; experiments_raw/results_exp_11_burgers1d_short_adam_long_lbfgs/results_exp_11_burgers1d_short_adam_long_lbfgs/runs/exp11_r004_nu0p002_adam3000_lbfgs5000_inner5_resample200_fp64_s0,1.0126495857493676
burgers1d|burgers_low_nu|nu|0.002|96|5|10000|800|800|12000|1200|||,burgers1d,burgers_low_nu,nu,0.002,96.0,5.0,10000.0,800.0,800.0,12000.0,1200.0,,,,2,2,0,0.0,0.048669481649994795,0.0475541055202484,0.0497848577797412,experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p002_fp32_0; experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p002_fp32_1,2,2,0,0.0,0.2603688687630654,0.2024989783181624,0.3182387592079684,experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p002_fp64_0; experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p002_fp64_1,5.3497358084785205
burgers1d|burgers_more_points|nu|0.002|256|4|10000|800|800|3000|2000||0.5|200,burgers1d,burgers_more_points,nu,0.002,256.0,4.0,10000.0,800.0,800.0,3000.0,2000.0,,0.5,200.0,2,2,0,0.0,0.048778716474771444,0.0472011193633079,0.050356313586235,experiments_raw/final/final 2/runs/run007_burgers1d_burgers_more_points_nu0p002_fp32_s0; experiments_raw/final/final 2/runs/run008_burgers1d_burgers_more_points_nu0p002_fp32_s1,2,2,0,0.0,0.046523612511057855,0.0462870463160776,0.0467601787060381,experiments_raw/final/final 2/runs/run009_burgers1d_burgers_more_points_nu0p002_fp64_s0; experiments_raw/final/final 2/runs/run010_burgers1d_burgers_more_points_nu0p002_fp64_s1,0.9537686899801896
burgers1d|burgers|nu|0.005|256|4|10000|800|800|3000|2000||1|200,burgers1d,burgers,nu,0.005,256.0,4.0,10000.0,800.0,800.0,3000.0,2000.0,,1.0,200.0,1,1,0,0.0,0.0478018335998058,0.0478018335998058,0.0478018335998058,experiments_raw/results_exp_11_burgers1d_short_adam_long_lbfgs/results_exp_11_burgers1d_short_adam_long_lbfgs/runs/exp11_r005_nu0p005_adam3000_lbfgs5000_inner5_resample200_fp32_s0,1,1,0,0.0,0.0519076759178343,0.0519076759178343,0.0519076759178343,experiments_raw/results_exp_11_burgers1d_short_adam_long_lbfgs/results_exp_11_burgers1d_short_adam_long_lbfgs/runs/exp11_r006_nu0p005_adam3000_lbfgs5000_inner5_resample200_fp64_s0,1.0858929879636496
burgers1d|burgers_low_nu|nu|0.005|96|5|10000|800|800|12000|1200|||,burgers1d,burgers_low_nu,nu,0.005,96.0,5.0,10000.0,800.0,800.0,12000.0,1200.0,,,,2,2,0,0.0,0.0469164233654737,0.0448742024600505,0.0489586442708969,experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p005_fp32_0; experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p005_fp32_1,2,2,0,0.0,0.05057231804090655,0.0500722999580332,0.0510723361237799,experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p005_fp64_0; experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p005_fp64_1,1.0779235588133784
burgers1d|burgers|nu|0.01|64|4|5000|500|500|8000|500|||,burgers1d,burgers,nu,0.01,64.0,4.0,5000.0,500.0,500.0,8000.0,500.0,,,,3,3,0,0.0,0.0452182851731777,0.0433101169764995,0.0452363528311252,experiments_raw/results_exp_2_burgers1d_nu/runs/burgers1d_nu_0p01_fp32_0; experiments_raw/results_exp_2_burgers1d_nu/runs/burgers1d_nu_0p01_fp32_1; experiments_raw/results_exp_2_burgers1d_nu/runs/burgers1d_nu_0p01_fp32_2,3,3,0,0.0,0.0430148326372165,0.0411263609423979,0.0468282037339653,experiments_raw/results_exp_2_burgers1d_nu/runs/burgers1d_nu_0p01_fp64_0; experiments_raw/results_exp_2_burgers1d_nu/runs/burgers1d_nu_0p01_fp64_1; experiments_raw/results_exp_2_burgers1d_nu/runs/burgers1d_nu_0p01_fp64_2,0.9512707629773579
burgers1d|burgers_low_nu|nu|0.01|96|5|10000|800|800|12000|1200|||,burgers1d,burgers_low_nu,nu,0.01,96.0,5.0,10000.0,800.0,800.0,12000.0,1200.0,,,,2,2,0,0.0,0.0416142791509628,0.0404959693551063,0.0427325889468193,experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p01_fp32_0; experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p01_fp32_1,2,2,0,0.0,0.04260087026889425,0.0413800133063886,0.0438217272313999,experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p01_fp64_0; experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p01_fp64_1,1.0237079949012795
burgers1d|burgers|nu|0.1|64|4|5000|500|500|8000|500|||,burgers1d,burgers,nu,0.1,64.0,4.0,5000.0,500.0,500.0,8000.0,500.0,,,,3,3,0,0.0,0.0196734741330146,0.0189937148243188,0.0197959076613187,experiments_raw/results_exp_2_burgers1d_nu/runs/burgers1d_nu_0p1_fp32_0; experiments_raw/results_exp_2_burgers1d_nu/runs/burgers1d_nu_0p1_fp32_1; experiments_raw/results_exp_2_burgers1d_nu/runs/burgers1d_nu_0p1_fp32_2,3,3,0,0.0,0.0199532973430125,0.0191503771711941,0.0208534650882956,experiments_raw/results_exp_2_burgers1d_nu/runs/burgers1d_nu_0p1_fp64_0; experiments_raw/results_exp_2_burgers1d_nu/runs/burgers1d_nu_0p1_fp64_1; experiments_raw/results_exp_2_burgers1d_nu/runs/burgers1d_nu_0p1_fp64_2,1.0142233755007368
convection1d|convection|beta|30|256|3|4225|65|65|0|4000||1|0,convection1d,convection,beta,30.0,256.0,3.0,4225.0,65.0,65.0,0.0,4000.0,,1.0,0.0,1,1,0,0.0,0.0066110449843108,0.0066110449843108,0.0066110449843108,experiments_raw/results_exp_10_convection1d_large_lbfgs/results_exp_10_convection1d_large_lbfgs/runs/exp10_r001_beta30p0_lbfgs_grid_t4_fp32_s0,1,1,0,0.0,0.0101805789260388,0.0101805789260388,0.0101805789260388,experiments_raw/results_exp_10_convection1d_large_lbfgs/results_exp_10_convection1d_large_lbfgs/runs/exp10_r002_beta30p0_lbfgs_grid_t4_fp64_s0,1.539934904421184
