task_name,variant,main_parameter_name,main_parameter_value,dtype,n_total,n_valid,n_bad,seed_list,best_l2_mean,best_l2_median,best_l2_std,best_l2_min,best_l2_max,final_l2_mean,final_l2_median,final_l2_std,final_l2_min,final_l2_max,bad_rate
burgers1d,adam1e4_lbfgs05_steps2000_inner5_resample200,nu,0.001,fp32,1,1,0,0,0.17678102850914,0.17678102850914,,0.17678102850914,0.17678102850914,0.17678102850914001,0.17678102850914001,,0.17678102850914001,0.17678102850914001,0.0
burgers1d,adam1e4_lbfgs05_steps2000_inner5_resample200,nu,0.001,fp64,1,1,0,0,0.1857798282713026,0.1857798282713026,,0.1857798282713026,0.1857798282713026,0.21475275158232335,0.21475275158232335,,0.21475275158232335,0.21475275158232335,0.0
burgers1d,adam1e4_lbfgs1_steps2000_inner5_resample200,nu,0.001,fp32,1,1,1,0,0.220319464802742,0.220319464802742,,0.220319464802742,0.220319464802742,0.22086194157600403,0.22086194157600403,,0.22086194157600403,0.22086194157600403,1.0
burgers1d,adam1e4_lbfgs1_steps2000_inner5_resample200,nu,0.001,fp64,1,1,0,0,0.1787671003678304,0.1787671003678304,,0.1787671003678304,0.1787671003678304,0.17876710036783044,0.17876710036783044,,0.17876710036783044,0.17876710036783044,0.0
burgers1d,adam2e4_lbfgs05_steps2000_inner5_resample200,nu,0.001,fp32,1,1,1,0,0.2265450656414032,0.2265450656414032,,0.2265450656414032,0.2265450656414032,0.2265450656414032,0.2265450656414032,,0.2265450656414032,0.2265450656414032,1.0
burgers1d,adam2e4_lbfgs05_steps2000_inner5_resample200,nu,0.001,fp64,1,1,1,0,0.2301922653213753,0.2301922653213753,,0.2301922653213753,0.2301922653213753,0.23019226532137532,0.23019226532137532,,0.23019226532137532,0.23019226532137532,1.0
burgers1d,adam2e4_lbfgs1_steps2000_inner5_resample200,nu,0.001,fp32,1,1,1,0,0.2255788147449493,0.2255788147449493,,0.2255788147449493,0.2255788147449493,0.22597716748714447,0.22597716748714447,,0.22597716748714447,0.22597716748714447,1.0
burgers1d,adam2e4_lbfgs1_steps2000_inner5_resample200,nu,0.001,fp64,1,1,1,0,0.2673989889349082,0.2673989889349082,,0.2673989889349082,0.2673989889349082,0.27446882796307925,0.27446882796307925,,0.27446882796307925,0.27446882796307925,1.0
burgers1d,adam3000_lbfgs5000_inner5_resample200,nu,0.001,fp32,1,1,1,0,0.2708814144134521,0.2708814144134521,,0.2708814144134521,0.2708814144134521,0.27088141441345215,0.27088141441345215,,0.27088141441345215,0.27088141441345215,1.0
burgers1d,adam3000_lbfgs5000_inner5_resample200,nu,0.001,fp64,1,1,0,0,0.0995819415032934,0.0995819415032934,,0.0995819415032934,0.0995819415032934,0.1003156039928465,0.1003156039928465,,0.1003156039928465,0.1003156039928465,0.0
burgers1d,adam3000_lbfgs5000_inner5_resample200,nu,0.002,fp32,1,1,0,0,0.0477750860154628,0.0477750860154628,,0.0477750860154628,0.0477750860154628,0.050614576786756516,0.050614576786756516,,0.050614576786756516,0.050614576786756516,0.0
burgers1d,adam3000_lbfgs5000_inner5_resample200,nu,0.002,fp64,1,1,0,0,0.0483794210626988,0.0483794210626988,,0.0483794210626988,0.0483794210626988,0.050917320703828754,0.050917320703828754,,0.050917320703828754,0.050917320703828754,0.0
burgers1d,adam3000_lbfgs5000_inner5_resample200,nu,0.005,fp32,1,1,0,0,0.0478018335998058,0.0478018335998058,,0.0478018335998058,0.0478018335998058,0.05202233046293259,0.05202233046293259,,0.05202233046293259,0.05202233046293259,0.0
burgers1d,adam3000_lbfgs5000_inner5_resample200,nu,0.005,fp64,1,1,0,0,0.0519076759178343,0.0519076759178343,,0.0519076759178343,0.0519076759178343,0.052059250369430064,0.052059250369430064,,0.052059250369430064,0.052059250369430064,0.0
burgers1d,adam5e4_lbfgs05_steps2000_inner5_resample200,nu,0.001,fp32,1,1,1,0,0.2336248606443405,0.2336248606443405,,0.2336248606443405,0.2336248606443405,0.23826481401920319,0.23826481401920319,,0.23826481401920319,0.23826481401920319,1.0
burgers1d,adam5e4_lbfgs05_steps2000_inner5_resample200,nu,0.001,fp64,1,1,0,0,0.0785992072155564,0.0785992072155564,,0.0785992072155564,0.0785992072155564,0.0910408607097001,0.0910408607097001,,0.0910408607097001,0.0910408607097001,0.0
