case_id,task,parameter,variant,dtype_comparison,n_seed_fp32,n_seed_fp64,fp32_median_best_l2,fp64_median_best_l2,ratio,bad_rate_fp32,bad_rate_fp64,label,status,comment,source_paths,case_key
heat_alpha01,heat1d,alpha=0.1,heat1d,FP32 vs FP64,3.0,3.0,0.0003752529737539,0.0003106738239774,0.8279050286251627,0.0,0.0,sanity_check,ok,"Простая задача для проверки: ошибки у FP32 и FP64 маленькие, большой разницы тут ждать не нужно.",results_exp_1_heat1d_precision/runs/heat1d_fp32_0; results_exp_1_heat1d_precision/runs/heat1d_fp32_1; results_exp_1_heat1d_precision/runs/heat1d_fp32_2; results_exp_1_heat1d_precision/runs/heat1d_fp64_0; results_exp_1_heat1d_precision/runs/heat1d_fp64_1; results_exp_1_heat1d_precision/runs/heat1d_fp64_2,
helmholtz_m12,helmholtz1d,m=12,helmholtz_resample_long,FP32 vs FP64,2.0,2.0,0.012530514737591,0.0021135880520116,0.1686752776141678,0.0,0.0,stable_positive,ok,Основной Helmholtz-кейс: тут есть по два валидных seed и FP64 лучше по медиане.,final/final 2/runs/run019_helmholtz1d_helmholtz_resample_long_m12_fp32_s0; final/final 2/runs/run020_helmholtz1d_helmholtz_resample_long_m12_fp32_s1; final/final 2/runs/run021_helmholtz1d_helmholtz_resample_long_m12_fp64_s0; final/final 2/runs/run022_helmholtz1d_helmholtz_resample_long_m12_fp64_s1,helmholtz1d|helmholtz_resample_long|m|12.0|128.0|4.0|5000.0|0.0|2.0|10000.0|0.0005|1000.0|1.0|1.0|200.0
helmholtz_m8,helmholtz1d,m=8,helmholtz_main,FP32 vs FP64,2.0,2.0,0.5019146215636282,0.0008813547300047,0.0017559853651184,0.5,0.0,seed_sensitive,needs_check,Helmholtz m=8 полезен как пример зависимости от seed: один плохой FP32 seed сильно влияет на картину.,final/final/runs/run013_helmholtz1d_helmholtz_main_m8_fp32_s0; final/final/runs/run014_helmholtz1d_helmholtz_main_m8_fp32_s1; final/final/runs/run015_helmholtz1d_helmholtz_main_m8_fp64_s0; final/final/runs/run016_helmholtz1d_helmholtz_main_m8_fp64_s1,helmholtz1d|helmholtz_main|m|8.0|128.0|4.0|4000.0|0.0|256.0|2000.0|0.0001|3000.0|0.3|5.0|500.0
burgers_nu0p002,burgers1d,nu=0.002,burgers_more_points,FP32 vs FP64,2.0,2.0,0.0487787164747714,0.0465236125110578,0.9537686899801896,0.0,0.0,similar,ok,Burgers nu=0.002 показывает близкие результаты FP32 и FP64.,final/final 2/runs/run007_burgers1d_burgers_more_points_nu0p002_fp32_s0; final/final 2/runs/run008_burgers1d_burgers_more_points_nu0p002_fp32_s1; final/final 2/runs/run009_burgers1d_burgers_more_points_nu0p002_fp64_s0; final/final 2/runs/run010_burgers1d_burgers_more_points_nu0p002_fp64_s1,burgers1d|burgers_more_points|nu|0.002|256.0|4.0|10000.0|800.0|800.0|3000.0|5e-05|2000.0|0.5|5.0|200.0
burgers_nu0p001,burgers1d,nu=0.001,burgers_more_points,FP32 vs FP64,2.0,2.0,0.0948454085737466,0.1699690994922754,1.7920646033183212,0.0,0.0,fp32_better,ok,Burgers nu=0.001 оставлен как отрицательный пример: FP64 здесь не дал преимущества.,final/final 2/runs/run001_burgers1d_burgers_more_points_nu0p001_fp32_s0; final/final 2/runs/run002_burgers1d_burgers_more_points_nu0p001_fp32_s1; final/final 2/runs/run003_burgers1d_burgers_more_points_nu0p001_fp64_s0; final/final 2/runs/run004_burgers1d_burgers_more_points_nu0p001_fp64_s1,burgers1d|burgers_more_points|nu|0.001|256.0|4.0|10000.0|800.0|800.0|3000.0|5e-05|2000.0|0.5|5.0|200.0
convection_beta30,convection1d,beta=30,convection_beta30_lbfgs_grid,FP32 vs FP64,2.0,2.0,0.0109412386082112,0.0066253707376576,0.605541198295904,0.0,0.0,moderate_positive,ok,"Convection beta=30 выглядит аккуратнее, потому что есть по два seed у FP32 и FP64.",final/final 2/runs/run025_convection1d_convection_beta30_lbfgs_grid_beta30p0_fp32_s0; final/final 2/runs/run026_convection1d_convection_beta30_lbfgs_grid_beta30p0_fp32_s1; final/final 2/runs/run027_convection1d_convection_beta30_lbfgs_grid_beta30p0_fp64_s0; final/final 2/runs/run028_convection1d_convection_beta30_lbfgs_grid_beta30p0_fp64_s1,convection1d|convection_beta30_lbfgs_grid|beta|30.0|256.0|3.0|4225.0|65.0|65.0|0.0|0.0001|4000.0|1.0|10.0|0.0
convection_beta50,convection1d,beta=50,convection_beta50_wide_lbfgs,FP32 vs FP64,1.0,1.0,0.6873066425323486,0.0071818074399789,0.0104492041769273,1.0,0.0,seed_sensitive,preliminary; needs_check,"Предварительный hard-case: FP64 выглядит сильно лучше, но есть только один seed. FP32 мог не сойтись из-за неудачного старта.",final/final 2/runs/run031_convection1d_convection_beta50_wide_lbfgs_beta50p0_fp32_s0; final/final 2/runs/run032_convection1d_convection_beta50_wide_lbfgs_beta50p0_fp64_s0,convection1d|convection_beta50_wide_lbfgs|beta|50.0|512.0|3.0|10201.0|101.0|101.0|0.0|5e-05|5000.0|0.5|10.0|0.0
fp16_summary,fp16,все fp16-запуски,отдельно,FP16,,,,,,,,fp16_failure,separate,FP16 вынесен отдельно: 22/22 запусков плохие или невалидные.,,
