source_path,summary_path,metrics_path,task_name,variant,dtype,seed,main_parameter_name,main_parameter_value,best_l2_error,final_l2_error,final_loss,hid_size,num_layers,n_collocation,n_ic,n_bc,adam_steps,lbfgs_steps,lr_adam,lbfgs_lr,resample_every,is_valid,is_bad
experiments_raw/final/final 2/runs/run029_convection1d_convection_beta30_lbfgs_grid_beta30p0_fp16_s0,experiments_raw/final/final 2/runs/run029_convection1d_convection_beta30_lbfgs_grid_beta30p0_fp16_s0/summary.json,experiments_raw/final/final 2/runs/run029_convection1d_convection_beta30_lbfgs_grid_beta30p0_fp16_s0/metrics.csv,convection1d,convection_beta30_lbfgs_grid,fp16,0,beta,30.0,1.0009765625,1.0009765625,0.493896484375,256.0,3.0,4225.0,65.0,65.0,0.0,4000.0,,1.0,0.0,True,True
experiments_raw/final/final 2/runs/run030_convection1d_convection_beta30_lbfgs_grid_beta30p0_fp16_s1,experiments_raw/final/final 2/runs/run030_convection1d_convection_beta30_lbfgs_grid_beta30p0_fp16_s1/summary.json,experiments_raw/final/final 2/runs/run030_convection1d_convection_beta30_lbfgs_grid_beta30p0_fp16_s1/metrics.csv,convection1d,convection_beta30_lbfgs_grid,fp16,1,beta,30.0,,,,,,,,,,,,,,False,True
experiments_raw/final/final/runs/run033_convection1d_convection_beta50_beta50p0_fp16_s0,experiments_raw/final/final/runs/run033_convection1d_convection_beta50_beta50p0_fp16_s0/summary.json,experiments_raw/final/final/runs/run033_convection1d_convection_beta50_beta50p0_fp16_s0/metrics.csv,convection1d,convection,fp16,0,beta,50.0,,,,,,,,,,,,,,False,True
experiments_raw/results_exp_10_convection1d_large_lbfgs/results_exp_10_convection1d_large_lbfgs/runs/exp10_r003_beta50p0_lbfgs_grid_t4_fp32_s0,experiments_raw/results_exp_10_convection1d_large_lbfgs/results_exp_10_convection1d_large_lbfgs/runs/exp10_r003_beta50p0_lbfgs_grid_t4_fp32_s0/summary.json,experiments_raw/results_exp_10_convection1d_large_lbfgs/results_exp_10_convection1d_large_lbfgs/runs/exp10_r003_beta50p0_lbfgs_grid_t4_fp32_s0/metrics.csv,convection1d,convection,fp32,0,beta,50.0,0.8505832552909851,0.8505832552909851,0.017538301646709442,256.0,3.0,4225.0,65.0,65.0,0.0,4000.0,,1.0,0.0,True,True
experiments_raw/results_exp_10_convection1d_large_lbfgs/results_exp_10_convection1d_large_lbfgs/runs/exp10_r004_beta50p0_lbfgs_grid_t4_fp64_s0,experiments_raw/results_exp_10_convection1d_large_lbfgs/results_exp_10_convection1d_large_lbfgs/runs/exp10_r004_beta50p0_lbfgs_grid_t4_fp64_s0/summary.json,experiments_raw/results_exp_10_convection1d_large_lbfgs/results_exp_10_convection1d_large_lbfgs/runs/exp10_r004_beta50p0_lbfgs_grid_t4_fp64_s0/metrics.csv,convection1d,convection,fp64,0,beta,50.0,0.8581250754380461,1.885598995013883,3.087712223340277e-05,256.0,3.0,4225.0,65.0,65.0,0.0,4000.0,,1.0,0.0,True,True
experiments_raw/final/final 2/runs/run033_convection1d_convection_beta50_wide_lbfgs_beta50p0_fp16_s0,experiments_raw/final/final 2/runs/run033_convection1d_convection_beta50_wide_lbfgs_beta50p0_fp16_s0/summary.json,experiments_raw/final/final 2/runs/run033_convection1d_convection_beta50_wide_lbfgs_beta50p0_fp16_s0/metrics.csv,convection1d,convection_beta50_wide_lbfgs,fp16,0,beta,50.0,1.0205078125,1.0205078125,0.978515625,512.0,3.0,10201.0,101.0,101.0,0.0,5000.0,,0.5,0.0,True,True
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r005_m8_resample_2k_fp32_s0,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r005_m8_resample_2k_fp32_s0/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r005_m8_resample_2k_fp32_s0/metrics.csv,helmholtz1d,helmholtz_m8,fp32,0,m,8.0,0.997715950012207,1.1427216529846191,0.3252286911010742,128.0,4.0,5000.0,0.0,2.0,2000.0,1500.0,,,200.0,True,True
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r017_m8_softer_lbfgs_fp32_s0,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r017_m8_softer_lbfgs_fp32_s0/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r017_m8_softer_lbfgs_fp32_s0/metrics.csv,helmholtz1d,helmholtz_m8,fp32,0,m,8.0,0.8229723572731018,2.4742441177368164,0.0010875480948016047,128.0,4.0,5000.0,0.0,2.0,5000.0,1500.0,,,200.0,True,True
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r009_m8_resample_5k_fp32_s0,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r009_m8_resample_5k_fp32_s0/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r009_m8_resample_5k_fp32_s0/metrics.csv,helmholtz1d,helmholtz_m8,fp32,0,m,8.0,0.8229723572731018,2.4742441177368164,0.0010875480948016047,128.0,4.0,5000.0,0.0,2.0,5000.0,1500.0,,,200.0,True,True
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r013_m8_soft_lbfgs_fp32_s0,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r013_m8_soft_lbfgs_fp32_s0/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r013_m8_soft_lbfgs_fp32_s0/metrics.csv,helmholtz1d,helmholtz_m8,fp32,0,m,8.0,0.8229723572731018,2.4742441177368164,0.0010875480948016047,128.0,4.0,5000.0,0.0,2.0,5000.0,1500.0,,,200.0,True,True
