case,task_name,param,param_value,variant,fp32_n,fp32_bad_rate,fp32_median,fp32_min,fp32_max,fp64_n,fp64_bad_rate,fp64_median,fp64_min,fp64_max,ratio,result
"Теплопроводность, alpha=0.1",heat1d,alpha,0.1,heat1d,3,0.0,0.0003752529737539,0.0002165301557397,0.0005908291786909,3,0.0,0.0003106738239774,0.0002769395990441,0.0008231124190756,0.8279050286251627,похоже
"Гельмгольц, m=9",helmholtz1d,m,9.0,helmholtz_rs_m9,2,0.0,0.0010594721825327,0.0004719910793937,0.0016469532856717,2,0.0,0.0009256147461689001,0.0005594160001707,0.0012918134921671,0.8736564880412342,похоже
"Бюргерс, nu=0.01",burgers1d,nu,0.01,nu_0p01,3,0.0,0.0452182851731777,0.0433101169764995,0.0452363528311252,3,0.0,0.0430148326372165,0.0411263609423979,0.0468282037339653,0.9512707629773579,похоже
"Бюргерс, nu=0.002",burgers1d,nu,0.002,burgers_more_points_nu0p002,2,0.0,0.048778716474771444,0.0472011193633079,0.050356313586235,2,0.0,0.046523612511057855,0.0462870463160776,0.0467601787060381,0.9537686899801896,похоже
"Бюргерс, nu=0.002",burgers1d,nu,0.002,adam3000_lbfgs5000_inner5_resample200,1,0.0,0.0477750860154628,0.0477750860154628,0.0477750860154628,1,0.0,0.0483794210626988,0.0483794210626988,0.0483794210626988,1.0126495857493676,похоже
"Бюргерс, nu=0.002",burgers1d,nu,0.002,adam5e4_lbfgs1_steps2000_inner5_resample200,1,0.0,0.0477750860154628,0.0477750860154628,0.0477750860154628,1,0.0,0.0483794210626988,0.0483794210626988,0.0483794210626988,1.0126495857493676,похоже
"Бюргерс, nu=0.1",burgers1d,nu,0.1,nu_0p1,3,0.0,0.0196734741330146,0.0189937148243188,0.0197959076613187,3,0.0,0.0199532973430125,0.0191503771711941,0.0208534650882956,1.0142233755007368,похоже
"Бюргерс, nu=0.01",burgers1d,nu,0.01,burgers_hard_nu_0p01,2,0.0,0.0416142791509628,0.0404959693551063,0.0427325889468193,2,0.0,0.04260087026889425,0.0413800133063886,0.0438217272313999,1.0237079949012795,похоже
"Бюргерс, nu=0.001",burgers1d,nu,0.001,adam1e4_lbfgs05_steps2000_inner5_resample200,1,0.0,0.17678102850914,0.17678102850914,0.17678102850914,1,0.0,0.1857798282713026,0.1857798282713026,0.1857798282713026,1.0509036509067338,похоже
"Бюргерс, nu=0.005",burgers1d,nu,0.005,burgers_hard_nu_0p005,2,0.0,0.0469164233654737,0.0448742024600505,0.0489586442708969,2,0.0,0.05057231804090655,0.0500722999580332,0.0510723361237799,1.0779235588133784,похоже
"Бюргерс, nu=0.005",burgers1d,nu,0.005,adam3000_lbfgs5000_inner5_resample200,1,0.0,0.0478018335998058,0.0478018335998058,0.0478018335998058,1,0.0,0.0519076759178343,0.0519076759178343,0.0519076759178343,1.0858929879636496,похоже
