case,task_name,param,param_value,variant,fp32_n,fp32_bad_rate,fp32_median,fp32_min,fp32_max,fp64_n,fp64_bad_rate,fp64_median,fp64_min,fp64_max,ratio,result
"Конвекция, beta=30",convection1d,beta,30.0,convection_beta30_lbfgs_grid_beta30p0,2,0.0,0.010941238608211251,0.0080388681963086,0.0138436090201139,2,0.0,0.0066253707376576505,0.0065081180455283,0.006742623429787,0.605541198295904,fp64 немного лучше
"Гельмгольц, m=10",helmholtz1d,m,10.0,width192_adam5e4_lbfgs05_steps1000_inner10_resample250,1,0.0,0.0034369314089417,0.0034369314089417,0.0034369314089417,1,0.0,0.0025258841433677,0.0025258841433677,0.0025258841433677,0.7349242224608348,fp64 немного лучше
"Гельмгольц, m=8",helmholtz1d,m,8.0,helmholtz_main_m8,2,0.5,0.5019146215636282,0.0038419985212385,0.999987244606018,2,0.0,0.0008813547300047,0.0004160223984903,0.0013466870615191,0.0017559853651184574,нестабильно
"Конвекция, beta=30",convection1d,beta,30.0,convection_beta30_beta30p0,2,1.0,1.0001898407936096,1.0000845193862915,1.0002951622009275,2,0.0,0.007462936888774051,0.0034621931284607,0.0114636806490874,0.007461520387822092,нестабильно
"Конвекция, beta=50",convection1d,beta,50.0,convection_beta50_wide_lbfgs_beta50p0,1,1.0,0.6873066425323486,0.6873066425323486,0.6873066425323486,1,0.0,0.0071818074399789,0.0071818074399789,0.0071818074399789,0.010449204176927306,нестабильно
"Гельмгольц, m=10",helmholtz1d,m,10.0,soft_lbfgs,2,0.5,0.4684511683881282,0.0476632043719291,0.8892391324043274,2,0.0,0.025462110616578302,0.0064769029828551,0.0444473182503015,0.05435382028011519,нестабильно
"Гельмгольц, m=10",helmholtz1d,m,10.0,softer_lbfgs,2,1.0,0.845535010099411,0.8018308877944946,0.8892391324043274,2,0.0,0.07365927038022299,0.0537387129381762,0.0935798278222698,0.08711557712029304,нестабильно
"Гельмгольц, m=10",helmholtz1d,m,10.0,helmholtz_m10,6,0.6666666666666666,0.5190091133117676,0.0100820837542414,0.9999887943267822,6,0.3333333333333333,0.0598496834833388,0.0063527287590072,0.9999874171388566,0.1153152843529883,нестабильно
"Гельмгольц, m=8",helmholtz1d,m,8.0,helmholtz_m8,4,0.5,0.5220789592713118,0.0553073845803737,0.9888505339622498,4,0.0,0.0961646018779944,0.0342897565962522,0.1580394471597366,0.18419551328445702,нестабильно
"Бюргерс, nu=0.001",burgers1d,nu,0.001,adam5e4_lbfgs05_steps2000_inner5_resample200,1,1.0,0.2336248606443405,0.2336248606443405,0.2336248606443405,1,0.0,0.0785992072155564,0.0785992072155564,0.0785992072155564,0.3364334043850416,нестабильно
"Бюргерс, nu=0.001",burgers1d,nu,0.001,adam3000_lbfgs5000_inner5_resample200,1,1.0,0.2708814144134521,0.2708814144134521,0.2708814144134521,1,0.0,0.0995819415032934,0.0995819415032934,0.0995819415032934,0.367621904658617,нестабильно
"Бюргерс, nu=0.001",burgers1d,nu,0.001,adam5e4_lbfgs1_steps2000_inner5_resample200,1,1.0,0.2708814144134521,0.2708814144134521,0.2708814144134521,1,0.0,0.0995819415032934,0.0995819415032934,0.0995819415032934,0.367621904658617,нестабильно
"Гельмгольц, m=5",helmholtz1d,m,5.0,helmholtz_m5,6,0.0,0.0012301544193178,3.904392724507488e-05,0.0023082674015313,6,0.0,0.000452363636341,4.0099485495170586e-05,0.0008157897861872,0.3677291478511006,нестабильно
"Гельмгольц, m=9",helmholtz1d,m,9.0,resample_100_soft,2,1.0,0.8667227327823639,0.7737687826156616,0.9596766829490662,2,0.5,0.38569215246001504,0.0276855118523044,0.7436987930677257,0.4450006188505768,нестабильно
"Гельмгольц, m=8",helmholtz1d,m,8.0,resample_proven_128,3,0.0,0.0022322519216686,0.0022322519216686,0.00334372674115,3,0.3333333333333333,0.0010758262542644,0.0010758262542644,0.2298230628129184,0.4819466135615301,нестабильно
"Гельмгольц, m=10",helmholtz1d,m,10.0,resample_5k,2,1.0,0.845535010099411,0.8018308877944946,0.8892391324043274,2,0.5,0.42695783875159615,0.0362062492301714,0.817709428273021,0.5049558370166103,нестабильно
"Гельмгольц, m=9",helmholtz1d,m,9.0,resample_2k,2,1.0,0.9101124703884125,0.8205289840698242,0.9996959567070008,2,0.5,0.5010675589562554,0.0021196220741009,1.00001549583841,0.550555645877935,нестабильно
"Гельмгольц, m=8",helmholtz1d,m,8.0,adam_only,2,0.5,0.24972347915172574,0.1933128833770752,0.3061340749263763,2,0.5,0.18062934349575735,0.1459099619138763,0.2153487250776384,0.72331742337296,нестабильно
"Гельмгольц, m=8",helmholtz1d,m,8.0,resample_100_soft,2,0.5,0.4842431533616037,0.0031260228715837,0.9653602838516236,2,0.5,0.3565394531813218,0.0025188842046772,0.7105600221579664,0.7362818672938047,нестабильно
"Бюргерс, nu=0.001",burgers1d,nu,0.001,adam1e4_lbfgs1_steps2000_inner5_resample200,1,1.0,0.220319464802742,0.220319464802742,0.220319464802742,1,0.0,0.1787671003678304,0.1787671003678304,0.1787671003678304,0.811399485414897,нестабильно
"Гельмгольц, m=9",helmholtz1d,m,9.0,adam_only,2,1.0,0.6103802919387817,0.5772601962089539,0.6435003876686096,2,1.0,0.5025544211868497,0.3718786383536135,0.6332302040200859,0.8233464084997907,нестабильно
"Гельмгольц, m=12",helmholtz1d,m,12.0,adam_only,2,1.0,0.7711652219295502,0.6410113573074341,0.9013190865516664,2,1.0,0.6354127061250652,0.4911958784801864,0.779629533769944,0.8239644217035417,нестабильно
"Бюргерс, nu=0.001",burgers1d,nu,0.001,burgers_hard_nu_0p001,2,1.0,0.3270493298768997,0.2925863564014435,0.3615123033523559,2,1.0,0.28694480985315574,0.2353878705506267,0.3385017491556847,0.8773747066265533,нестабильно
"Гельмгольц, m=12",helmholtz1d,m,12.0,more_points_soft,2,1.0,0.9936592876911163,0.98732727766037,0.9999912977218628,2,1.0,0.8922953162148053,0.7918590599330966,0.992731572496514,0.8979892074356371,нестабильно
"Гельмгольц, m=12",helmholtz1d,m,12.0,soft_lbfgs,2,1.0,0.9644711315631866,0.9289563298225404,0.999985933303833,2,1.0,0.884125422801223,0.8043486496789253,0.9639021959235208,0.916694542602077,нестабильно
"Гельмгольц, m=12",helmholtz1d,m,12.0,softer_lbfgs,2,1.0,0.9644711315631866,0.9289563298225404,0.999985933303833,2,1.0,0.8841473372247735,0.8043924785260261,0.9639021959235208,0.9167172643019115,нестабильно
"Гельмгольц, m=9",helmholtz1d,m,9.0,more_points_soft,2,0.5,0.3216434005298651,0.0016503102378919,0.6416364908218384,2,0.5,0.2982825821384338,0.0033133436255883,0.5932518206512792,0.9273704408268677,нестабильно
"Гельмгольц, m=11",helmholtz1d,m,11.0,resample_5k,2,1.0,0.8971443176269531,0.8938377499580383,0.9004508852958679,2,1.0,0.8430182004375846,0.7648315825262401,0.9212048183489292,0.9396684389279328,нестабильно
"Гельмгольц, m=11",helmholtz1d,m,11.0,soft_lbfgs,2,1.0,0.8971443176269531,0.8938377499580383,0.9004508852958679,2,1.0,0.8430182004375846,0.7648315825262401,0.9212048183489292,0.9396684389279328,нестабильно
