case,task_name,param,param_value,variant,dtype,n_total,n_bad,n_valid,median_best_l2,mean_best_l2,min_best_l2,max_best_l2,median_final_l2,seeds,bad_rate
"Бюргерс, nu=0.001",burgers1d,nu,0.001,nu_0p001,fp64,3,3,3,0.3950744994023785,0.3863221183838605,0.3686728799292377,0.3952189758199652,0.39531601318571635,"0, 1, 2",1.0
"Бюргерс, nu=0.002",burgers1d,nu,0.002,adam3000_lbfgs5000_inner5_resample200,fp32,1,0,1,0.0477750860154628,0.0477750860154628,0.0477750860154628,0.0477750860154628,0.050614576786756516,0,0.0
"Бюргерс, nu=0.002",burgers1d,nu,0.002,adam3000_lbfgs5000_inner5_resample200,fp64,1,0,1,0.0483794210626988,0.0483794210626988,0.0483794210626988,0.0483794210626988,0.050917320703828754,0,0.0
"Бюргерс, nu=0.002",burgers1d,nu,0.002,adam5e4_lbfgs05_steps2000_inner5_resample200,fp32,1,0,1,0.0470239780843257,0.0470239780843257,0.0470239780843257,0.0470239780843257,0.04712007939815521,0,0.0
"Бюргерс, nu=0.002",burgers1d,nu,0.002,adam5e4_lbfgs1_steps2000_inner5_resample200,fp32,1,0,1,0.0477750860154628,0.0477750860154628,0.0477750860154628,0.0477750860154628,0.050614576786756516,0,0.0
"Бюргерс, nu=0.002",burgers1d,nu,0.002,adam5e4_lbfgs1_steps2000_inner5_resample200,fp64,1,0,1,0.0483794210626988,0.0483794210626988,0.0483794210626988,0.0483794210626988,0.050917320703828754,0,0.0
"Бюргерс, nu=0.002",burgers1d,nu,0.002,burgers_hard_nu_0p002,fp32,2,0,2,0.048669481649994795,0.048669481649994795,0.0475541055202484,0.0497848577797412,0.04871722124516964,"0, 1",0.0
"Бюргерс, nu=0.002",burgers1d,nu,0.002,burgers_hard_nu_0p002,fp64,2,2,2,0.2603688687630654,0.2603688687630654,0.2024989783181624,0.3182387592079684,5036976508.883046,"0, 1",1.0
"Бюргерс, nu=0.002",burgers1d,nu,0.002,burgers_main_nu0p002,fp32,2,1,2,0.1577947568148374,0.1577947568148374,0.0480684004724025,0.2675211131572723,0.1585552804172039,"0, 1",0.5
"Бюргерс, nu=0.002",burgers1d,nu,0.002,burgers_main_nu0p002,fp64,2,1,2,0.2784619062602394,0.2784619062602394,0.1827031297746268,0.3742206827458521,0.28062800368521146,"0, 1",0.5
"Бюргерс, nu=0.002",burgers1d,nu,0.002,burgers_more_points_nu0p002,fp16,2,2,0,,,,,,,1.0
"Бюргерс, nu=0.002",burgers1d,nu,0.002,burgers_more_points_nu0p002,fp32,2,0,2,0.048778716474771444,0.048778716474771444,0.0472011193633079,0.050356313586235,0.05046572536230087,"0, 1",0.0
"Бюргерс, nu=0.002",burgers1d,nu,0.002,burgers_more_points_nu0p002,fp64,2,0,2,0.046523612511057855,0.046523612511057855,0.0462870463160776,0.0467601787060381,0.050467132649203314,"0, 1",0.0
"Бюргерс, nu=0.005",burgers1d,nu,0.005,adam3000_lbfgs5000_inner5_resample200,fp32,1,0,1,0.0478018335998058,0.0478018335998058,0.0478018335998058,0.0478018335998058,0.05202233046293259,0,0.0
"Бюргерс, nu=0.005",burgers1d,nu,0.005,adam3000_lbfgs5000_inner5_resample200,fp64,1,0,1,0.0519076759178343,0.0519076759178343,0.0519076759178343,0.0519076759178343,0.052059250369430064,0,0.0
"Бюргерс, nu=0.005",burgers1d,nu,0.005,burgers_hard_nu_0p005,fp32,2,0,2,0.0469164233654737,0.0469164233654737,0.0448742024600505,0.0489586442708969,0.05205364339053631,"0, 1",0.0
"Бюргерс, nu=0.005",burgers1d,nu,0.005,burgers_hard_nu_0p005,fp64,2,0,2,0.05057231804090655,0.05057231804090655,0.0500722999580332,0.0510723361237799,0.051965468013369584,"0, 1",0.0
"Бюргерс, nu=0.01",burgers1d,nu,0.01,burgers_hard_nu_0p01,fp32,2,0,2,0.0416142791509628,0.0416142791509628,0.0404959693551063,0.0427325889468193,0.0493039395660162,"0, 1",0.0
"Бюргерс, nu=0.01",burgers1d,nu,0.01,burgers_hard_nu_0p01,fp64,2,0,2,0.04260087026889425,0.04260087026889425,0.0413800133063886,0.0438217272313999,0.04941392417231251,"0, 1",0.0
"Бюргерс, nu=0.01",burgers1d,nu,0.01,nu_0p01,fp32,3,0,3,0.0452182851731777,0.04458825166026747,0.0433101169764995,0.0452363528311252,0.049273062497377396,"0, 1, 2",0.0
"Бюргерс, nu=0.01",burgers1d,nu,0.01,nu_0p01,fp64,3,0,3,0.0430148326372165,0.04365646577119323,0.0411263609423979,0.0468282037339653,0.049217967537794165,"0, 1, 2",0.0
"Бюргерс, nu=0.1",burgers1d,nu,0.1,nu_0p1,fp32,3,0,3,0.0196734741330146,0.01948769887288403,0.0189937148243188,0.0197959076613187,0.023654714226722717,"0, 1, 2",0.0
"Бюргерс, nu=0.1",burgers1d,nu,0.1,nu_0p1,fp64,3,0,3,0.0199532973430125,0.019985713200834067,0.0191503771711941,0.0208534650882956,0.023810158892002505,"0, 1, 2",0.0
"Бюргерс, nu=?",burgers1d,nu,,burgers_main_nu0p001,fp16,2,2,0,,,,,,,1.0
"Бюргерс, nu=?",burgers1d,nu,,burgers_main_nu0p002,fp16,2,2,0,,,,,,,1.0
"Гельмгольц, m=10",helmholtz1d,m,10.0,adam_only,fp32,2,2,2,0.5799353420734406,0.5799353420734406,0.5050587058067322,0.6548119783401489,0.6976556777954102,"0, 1",1.0
"Гельмгольц, m=10",helmholtz1d,m,10.0,adam_only,fp64,2,2,2,0.7162463689923662,0.7162463689923662,0.6185362830621512,0.813956454922581,0.9152812317183785,"0, 1",1.0
"Гельмгольц, m=10",helmholtz1d,m,10.0,base_2k,fp32,2,2,2,1.0000163614749908,1.0000163614749908,0.9999876618385316,1.0000450611114502,1.1879806518554688,"0, 1",1.0
"Гельмгольц, m=10",helmholtz1d,m,10.0,base_2k,fp64,2,2,2,0.9888148849943763,0.9888148849943763,0.9737688172987262,1.0038609526900264,1.1298704542467157,"0, 1",1.0
"Гельмгольц, m=10",helmholtz1d,m,10.0,helmholtz_lbfgs_r07_m10_fp32_adam0,fp32,1,1,1,1.0149681568145752,1.0149681568145752,1.0149681568145752,1.0149681568145752,5.747350692749023,0,1.0
"Гельмгольц, m=10",helmholtz1d,m,10.0,helmholtz_lbfgs_r08_m10_fp64_adam0,fp64,1,1,1,0.9995512117851952,0.9995512117851952,0.9995512117851952,0.9995512117851952,3.2562015901510386,0,1.0
"Гельмгольц, m=10",helmholtz1d,m,10.0,helmholtz_lbfgs_r09_m10_fp32_adam500,fp32,1,0,1,0.0165341366082429,0.0165341366082429,0.0165341366082429,0.0165341366082429,0.051498014479875565,0,0.0
