task_name,dtype,seed,alpha,hid_size,num_layers,n_collocation,n_ic,n_bc,adam_steps,lbfgs_steps,resample_every,final_loss,final_l2_error,time_sec,log_dir,m,lambda_val,best_l2_error,best_step,l2_ratio
helmholtz1d,fp32,0,"{'m': 10, 'lambda_val': 1.0}",128,4,5000,0,2,10000,1000,200,4.252362373335927e-07,0.001966268988326192,159.14609813690186,runs/helmholtz_rs_m10_fp32_0,10,1.0,0.001966268988326192,11000,1.0
helmholtz1d,fp32,1,"{'m': 10, 'lambda_val': 1.0}",128,4,5000,0,2,10000,1000,200,1.3834934406986577e-06,0.0034589010756462812,171.23013138771057,runs/helmholtz_rs_m10_fp32_1,10,1.0,0.0012300387024879456,10500,2.812026214012708
helmholtz1d,fp64,0,"{'m': 10, 'lambda_val': 1.0}",128,4,5000,0,2,10000,1000,200,1.25153565742175e-06,0.002091146169372967,158.85188603401184,runs/helmholtz_rs_m10_fp64_0,10,1.0,0.0020277565836407936,10500,1.0312609443577092
helmholtz1d,fp64,1,"{'m': 10, 'lambda_val': 1.0}",128,4,5000,0,2,10000,1000,200,1.2296393745746106e-06,0.0039794479330183055,159.37508082389832,runs/helmholtz_rs_m10_fp64_1,10,1.0,0.0039794479330183055,11000,1.0
helmholtz1d,fp32,0,"{'m': 11, 'lambda_val': 1.0}",128,4,5000,0,2,10000,1000,200,8.970238809524744e-07,0.00114480743650347,159.89290189743042,runs/helmholtz_rs_m11_fp32_0,11,1.0,0.00114480743650347,11000,1.0
helmholtz1d,fp32,1,"{'m': 11, 'lambda_val': 1.0}",128,4,5000,0,2,10000,1000,200,1.4389619309440604e-06,0.009598912671208382,159.13887071609497,runs/helmholtz_rs_m11_fp32_1,11,1.0,0.002666425658389926,10400,3.599917605430078
helmholtz1d,fp64,0,"{'m': 11, 'lambda_val': 1.0}",128,4,5000,0,2,10000,1000,200,5.510830197137646e-07,0.0016836553939764281,159.17224097251892,runs/helmholtz_rs_m11_fp64_0,11,1.0,0.00028832924365917176,10600,5.839350086759301
helmholtz1d,fp64,1,"{'m': 11, 'lambda_val': 1.0}",128,4,5000,0,2,10000,1000,200,3.6549407134325176e-07,0.001685553476338448,159.3018307685852,runs/helmholtz_rs_m11_fp64_1,11,1.0,0.0016783239288326866,10900,1.0043075996126622
helmholtz1d,fp32,0,"{'m': 12, 'lambda_val': 1.0}",128,4,5000,0,2,10000,1000,200,9.185399107991543e-07,0.005315887276083231,161.2284917831421,runs/helmholtz_rs_m12_fp32_0,12,1.0,0.001969289733096957,10900,2.699393180567354
helmholtz1d,fp32,1,"{'m': 12, 'lambda_val': 1.0}",128,4,5000,0,2,10000,1000,200,1.3060177934676176e-06,0.002699259901419282,159.5204951763153,runs/helmholtz_rs_m12_fp32_1,12,1.0,0.0023505755234509706,10500,1.148340002050389
helmholtz1d,fp64,0,"{'m': 12, 'lambda_val': 1.0}",128,4,5000,0,2,10000,1000,200,6.786523566995884e-07,0.0026630288648884447,161.14418697357178,runs/helmholtz_rs_m12_fp64_0,12,1.0,0.000638709801648914,10900,4.169387815896175
helmholtz1d,fp64,1,"{'m': 12, 'lambda_val': 1.0}",128,4,5000,0,2,10000,1000,200,3.6796629645012426e-07,0.0010292677215371928,161.41834259033203,runs/helmholtz_rs_m12_fp64_1,12,1.0,0.0010292677215371928,11000,1.0
