,,best_l2_error,best_l2_error,final_l2_error,final_l2_error
dtype,,fp32,fp64,fp32,fp64
m,adam_steps_config,,,,
8,0,1.0168980360031128,0.9998590890430962,4.687134742736816,2967304.82426884
8,500,0.00021435217058751732,1.0120481539452901,0.00021435217058751732,7.217639649334995
8,2000,9.030805813381448e-05,0.00042351026042616445,0.000699418771546334,0.0007741855997958159
10,0,1.0149681568145752,0.9995512117851953,5.747350692749023,3.2562015901510386
10,500,0.01653413660824299,1.0035130802412142,0.051498014479875565,3.2562015925709984
10,2000,0.002690007211640477,1.0035130802412142,0.002690007211640477,13.264213168182557
