step,opt,total_loss,pde_loss,ic_loss,bc_loss,l2_error,time_sec
1,adam,0.6428455114364624,0.49575576186180115,0.0,0.14708977937698364,1.0785783529281616,0.015343427658081055
100,adam,0.4957503378391266,0.4957173764705658,0.0,3.295291026006453e-05,1.0005003213882446,0.9118466377258301
200,adam,0.49570491909980774,0.49570485949516296,0.0,6.603635682722597e-08,1.0001124143600464,1.8081433773040771
300,adam,0.49888357520103455,0.49888354539871216,0.0,3.66967292109166e-08,1.0000993013381958,2.707392692565918
400,adam,0.4988727569580078,0.4988727271556854,0.0,3.692487737794181e-08,1.0000815391540527,3.612300157546997
500,adam,0.5063108801841736,0.5063108205795288,0.0,4.216035875970192e-08,1.0001330375671387,4.5074546337127686
600,adam,0.5062929391860962,0.5062928795814514,0.0,4.274968290474135e-08,1.0002202987670898,5.409597396850586
700,adam,0.5013625621795654,0.5013625025749207,0.0,4.2027750168927014e-08,1.00017249584198,6.312147378921509
800,adam,0.5013339519500732,0.5013338923454285,0.0,4.361483263437549e-08,1.0001190900802612,7.216364860534668
900,adam,0.50539231300354,0.5053922533988953,0.0,5.5320118264035045e-08,1.000088095664978,8.119443655014038
1000,adam,0.5053133964538574,0.5053133368492126,0.0,6.119059037246188e-08,1.0000860691070557,9.062520742416382
1100,adam,0.4962189495563507,0.49621888995170593,0.0,6.663495355496707e-08,1.0002251863479614,9.948445081710815
1200,adam,0.4959847033023834,0.49598461389541626,0.0,7.652255362700089e-08,1.0005836486816406,10.841350078582764
1300,adam,0.495991587638855,0.4959914982318878,0.0,7.722355377381973e-08,1.000766634941101,11.7457754611969
1400,adam,0.494796484708786,0.49479642510414124,0.0,5.7101924966218576e-08,1.000894546508789,12.65151047706604
1500,adam,0.49994441866874695,0.49994441866874695,0.0,1.0693436358621966e-08,1.000072717666626,13.551870822906494
1600,adam,0.487635999917984,0.48763588070869446,0.0,1.1816867129255115e-07,0.997715950012207,14.451390266418457
1700,adam,0.4587026536464691,0.45868778228759766,0.0,1.4867149729980156e-05,1.0032269954681396,15.355928421020508
1800,adam,0.4038044214248657,0.40171700716018677,0.0,0.0020874012261629105,1.16373610496521,16.268938302993774
1900,adam,0.35945242643356323,0.35945239663124084,0.0,3.817765303892884e-08,1.2631347179412842,17.17767095565796
2000,adam,0.3252286911010742,0.3252224624156952,0.0,6.231466613826342e-06,1.1427216529846191,18.092939615249634
2100,adam,0.314663827419281,0.3146637976169586,0.0,2.822002898028586e-08,1.0291754007339478,19.02311635017395
2200,adam,0.2888917922973633,0.288887619972229,0.0,4.1645052988315e-06,1.152342677116394,19.922696590423584
2300,adam,0.261810839176178,0.26178818941116333,0.0,2.263760325149633e-05,1.1598128080368042,20.833091735839844
2400,adam,0.23978140950202942,0.23811474442481995,0.0,0.0016666725277900696,0.9739594459533691,21.750269174575806
2500,adam,0.21112021803855896,0.211120143532753,0.0,7.24218196523907e-08,1.2324527502059937,22.65916657447815
2600,adam,0.20157404243946075,0.19855281710624695,0.0,0.0030212202109396458,1.277065634727478,23.55820608139038
2700,adam,0.18762682378292084,0.1876228153705597,0.0,4.012681529275142e-06,0.9646615982055664,24.464534282684326
2800,adam,0.15162593126296997,0.15162217617034912,0.0,3.752013526536757e-06,1.0412564277648926,25.3648419380188
2900,adam,0.13271847367286682,0.13271759450435638,0.0,8.847698609315557e-07,1.0258256196975708,26.258200645446777
3000,adam,0.10674070566892624,0.10674016177654266,0.0,5.463266461447347e-07,0.898911714553833,27.15833592414856
3100,adam,0.08695822954177856,0.08695252984762192,0.0,5.702524504158646e-06,1.312759518623352,28.05657958984375
3200,adam,0.08062776923179626,0.08062776923179626,0.0,9.935984257580799e-10,1.506432056427002,28.98961043357849
3300,adam,0.07543877512216568,0.07523426413536072,0.0,0.00020451350428629667,1.5817152261734009,29.894269704818726
3400,adam,0.0647546723484993,0.06475435942411423,0.0,3.1055546401148604e-07,1.3099268674850464,30.80921173095703
3500,adam,0.050502777099609375,0.04438816383481026,0.0,0.006114611402153969,0.8229723572731018,31.699511766433716
3600,adam,0.021108992397785187,0.021108338609337807,0.0,6.539708010677714e-07,1.620914101600647,32.59627842903137
3700,adam,0.013109259307384491,0.012352743186056614,0.0,0.0007565162377431989,2.572030544281006,33.496315002441406
3800,adam,0.009022361598908901,0.009022275917232037,0.0,8.594775380288411e-08,2.982799768447876,34.39308142662048
3900,adam,0.006787721533328295,0.006755146663635969,0.0,3.2574978831689805e-05,3.2073633670806885,35.29800844192505
4000,adam,0.0053384085185825825,0.0053384071215987206,0.0,1.514212533137993e-09,3.3788414001464844,36.21440291404724
4100,adam,0.004524343181401491,0.004506370518356562,0.0,1.7972848581848666e-05,3.4626705646514893,37.119340896606445
4200,adam,0.006070085801184177,0.003780154976993799,0.0,0.002289930824190378,3.5126638412475586,38.025601625442505
4300,adam,0.003200163133442402,0.00319984694942832,0.0,3.161365782489156e-07,3.442601203918457,38.96061992645264
4400,adam,0.004650752060115337,0.002833559177815914,0.0,0.0018171928822994232,3.3884634971618652,39.869688987731934
