step,opt,total_loss,pde_loss,ic_loss,bc_loss,l2_error,time_sec
1,adam,7831779.383065095,7831779.278243598,0.0,0.10482149791577783,1.05557778683672,0.04686260223388672
100,adam,7443886.785718483,7443870.609687253,0.0,16.176031229950695,5.571765057745749,3.533752918243408
200,adam,7054549.550864993,7054524.578891993,0.0,24.97197300018184,2.7289017266285738,7.057453870773315
300,adam,7050548.058006581,7050523.826258279,0.0,24.231748301886405,2.7275159707111416,10.586270332336426
400,adam,7049598.756998474,7049574.652559836,0.0,24.104438637053775,2.729551333713807,14.111797094345093
500,adam,7049192.301337921,7049168.16735145,0.0,24.133986471119098,2.7397217618349283,17.646246194839478
600,adam,7050105.597417862,7050081.507177918,0.0,24.090239943886502,2.7178857115975283,21.17892074584961
700,adam,7048797.39820974,7048773.356027964,0.0,24.042181777003854,2.6794454335388136,24.71632170677185
800,adam,7047495.83255218,7047471.929771685,0.0,23.902780495074502,2.6745372844720237,28.253036975860596
900,adam,7047129.47673579,7047105.513934223,0.0,23.962801567570466,2.646653597227971,31.790085077285767
1000,adam,7045959.76371712,7045935.691135119,0.0,24.07258200132077,2.6177103433445446,35.32382297515869
1100,adam,6893442.314389496,6893427.3814811325,0.0,14.932908363971103,1.4119585893217652,38.86241698265076
1200,adam,6823139.440906071,6823127.947145359,0.0,11.493760712743107,1.4743386768966136,42.39617204666138
1300,adam,6649011.447924922,6648976.918404343,0.0,34.529520579720376,7.7179203112250905,45.942540884017944
1400,adam,6497661.334581297,6497613.663800983,0.0,47.67078031401685,9.259055583875433,49.48221135139465
1500,adam,6396703.4755240185,6396667.318044538,0.0,36.157479481048306,8.189205889883816,53.012179374694824
1600,adam,6345494.8101635175,6345457.510429562,0.0,37.29973395549753,7.715168066790773,56.547080516815186
1700,adam,6067032.353446157,6066978.258049778,0.0,54.095396378666784,7.641520615338105,60.080997943878174
1800,adam,5938014.186356703,5937942.5611106325,0.0,71.62524607067888,7.499061168219674,63.60819983482361
1900,adam,5859692.505997235,5859624.75657719,0.0,67.7494200448387,8.717709412124186,67.14494466781616
2000,adam,5832516.73917715,5832446.461670839,0.0,70.27750631024276,10.756940780947234,70.67964100837708
2001,lbfgs,5872456.997533902,5872386.3165408075,0.0,70.6809930936595,10.774115547694237,70.72869992256165
2100,lbfgs,5808249.698512792,5808027.182484917,0.0,222.51602787465086,19.133937920840392,74.97698950767517
2200,lbfgs,5806396.190791842,5805940.899855919,0.0,455.29093592272653,27.448424858403488,79.9557831287384
2300,lbfgs,5803721.888048506,5802369.89813659,0.0,1351.989911916232,44.29222357293009,84.91208386421204
2400,lbfgs,7831805.857742667,7831805.82562023,0.0,0.0321224373746275,1.0159500932460188,89.8518238067627
2500,lbfgs,7831805.857742667,7831805.82562023,0.0,0.0321224373746275,1.0159500932460188,94.71985602378845
2600,lbfgs,7831805.857742667,7831805.82562023,0.0,0.0321224373746275,1.0159500932460188,99.59589338302612
2700,lbfgs,7831805.857742667,7831805.82562023,0.0,0.0321224373746275,1.0159500932460188,104.43711972236633
2800,lbfgs,7831805.857742667,7831805.82562023,0.0,0.0321224373746275,1.0159500932460188,109.34593152999878
2900,lbfgs,7831805.857742667,7831805.82562023,0.0,0.0321224373746275,1.0159500932460188,114.21482729911804
3000,lbfgs,7831805.857742667,7831805.82562023,0.0,0.0321224373746275,1.0159500932460188,119.10318112373352
