task_name,dtype,seed,alpha,hid_size,num_layers,n_collocation,n_ic,n_bc,adam_steps,lbfgs_steps,final_loss,final_l2_error,time_sec,log_dir,source,variant,best_l2_error,elapsed_time,case_name,case_value,run_id,nu,init_gain,adam_steps_config,lr_adam,lbfgs_steps_config,lbfgs_max_iter,lbfgs_max_eval,lbfgs_history_size,lbfgs_tolerance_grad,lbfgs_tolerance_change,resample_every,lbfgs_lr,best_step,l2_ratio,m,lambda_val,point_mode,hard_bc,bc_weight,run_name,adam_name,lbfgs_name,lbfgs_line_search_fn,beta,n_grid,error
helmholtz1d,fp32,1,"{'m': 5, 'lambda_val': 1.0}",128,4,5000,0.0,2.0,10000,1000,3.3366245588695165e-07,0.0001494790485594,180.42691206932068,runs/helmholtz_rs_m5_fp32_1,helmholtz_resample_sweep,helmholtz_resample_sweep,0.0001494790485594,180.42691206932068,m,5.0,,,,,,,,,,,,200.0,,10200.0,1.0,5.0,1.0,,,,,,,,,,
helmholtz1d,fp64,0,"{'m': 5, 'lambda_val': 1.0}",128,4,5000,0.0,2.0,10000,1000,3.197181783933917e-07,0.0012781916212314,154.24301624298096,runs/helmholtz_rs_m5_fp64_0,helmholtz_resample_sweep,helmholtz_resample_sweep,0.0008974688928242,154.24301624298096,m,5.0,,,,,,,,,,,,200.0,,10100.0,1.424218300434956,5.0,1.0,,,,,,,,,,
helmholtz1d,fp64,1,"{'m': 5, 'lambda_val': 1.0}",128,4,5000,0.0,2.0,10000,1000,3.04418352979267e-07,5.777493379241883e-05,156.91302680969238,runs/helmholtz_rs_m5_fp64_1,helmholtz_resample_sweep,helmholtz_resample_sweep,5.777493379241883e-05,156.91302680969238,m,5.0,,,,,,,,,,,,200.0,,11000.0,1.0,5.0,1.0,,,,,,,,,,
helmholtz1d,fp32,0,"{'m': 6, 'lambda_val': 1.0}",128,4,5000,0.0,2.0,10000,1000,2.814587958255288e-07,8.179871656466275e-05,182.94811463356015,runs/helmholtz_rs_m6_fp32_0,helmholtz_resample_sweep,helmholtz_resample_sweep,8.179871656466275e-05,182.94811463356015,m,6.0,,,,,,,,,,,,200.0,,10200.0,1.0,6.0,1.0,,,,,,,,,,
helmholtz1d,fp32,1,"{'m': 6, 'lambda_val': 1.0}",128,4,5000,0.0,2.0,10000,1000,4.147877632476593e-07,0.0008209836669266,174.20927548408508,runs/helmholtz_rs_m6_fp32_1,helmholtz_resample_sweep,helmholtz_resample_sweep,0.0004539585206657,174.20927548408508,m,6.0,,,,,,,,,,,,200.0,,10400.0,1.8084993001620215,6.0,1.0,,,,,,,,,,
helmholtz1d,fp64,0,"{'m': 6, 'lambda_val': 1.0}",128,4,5000,0.0,2.0,10000,1000,6.50467185424241e-07,0.0018195574717574,160.21111488342285,runs/helmholtz_rs_m6_fp64_0,helmholtz_resample_sweep,helmholtz_resample_sweep,0.0002548418768011,160.21111488342285,m,6.0,,,,,,,,,,,,200.0,,10100.0,7.139946913738363,6.0,1.0,,,,,,,,,,
helmholtz1d,fp64,1,"{'m': 6, 'lambda_val': 1.0}",128,4,5000,0.0,2.0,10000,1000,4.218088724420478e-07,0.0007587241276229,165.78130435943604,runs/helmholtz_rs_m6_fp64_1,helmholtz_resample_sweep,helmholtz_resample_sweep,0.0007584813423114,165.78130435943604,m,6.0,,,,,,,,,,,,200.0,,10900.0,1.0003200939797918,6.0,1.0,,,,,,,,,,
helmholtz1d,fp32,0,"{'m': 7, 'lambda_val': 1.0}",128,4,5000,0.0,2.0,10000,1000,6.423001650546212e-07,0.0011489177122712,177.93128299713135,runs/helmholtz_rs_m7_fp32_0,helmholtz_resample_sweep,helmholtz_resample_sweep,0.0011489177122712,177.93128299713135,m,7.0,,,,,,,,,,,,200.0,,10400.0,1.0,7.0,1.0,,,,,,,,,,
helmholtz1d,fp32,1,"{'m': 7, 'lambda_val': 1.0}",128,4,5000,0.0,2.0,10000,1000,9.288816613661766e-07,0.0015475167892873,183.59991145133972,runs/helmholtz_rs_m7_fp32_1,helmholtz_resample_sweep,helmholtz_resample_sweep,0.0015475167892873,183.59991145133972,m,7.0,,,,,,,,,,,,200.0,,10200.0,1.0,7.0,1.0,,,,,,,,,,
helmholtz1d,fp64,0,"{'m': 7, 'lambda_val': 1.0}",128,4,5000,0.0,2.0,10000,1000,3.457391751871713e-07,0.00088429381023,163.7110526561737,runs/helmholtz_rs_m7_fp64_0,helmholtz_resample_sweep,helmholtz_resample_sweep,0.0006885345669491,163.7110526561737,m,7.0,,,,,,,,,,,,200.0,,10100.0,1.2843128764737937,7.0,1.0,,,,,,,,,,
