source,task_name,variant,case_name,case_value,best_l2_mean_fp32,best_l2_mean_fp64,count_fp32,count_fp64,elapsed_time_mean_fp32,elapsed_time_mean_fp64,final_l2_mean_fp32,final_l2_mean_fp64,fp64_over_fp32_best,fp64_over_fp32_final,result,fp32_learned,used_in_main,label
burgers_long_lbfgs,burgers1d,adam3000_lbfgs5000_inner5_resample200,nu,0.002,0.0477750860154628,0.0483794210626988,1,1,697.4383900165558,5115.536487817764,0.0506145767867565,0.0509173207038287,1.0126495857493676,1.0059813582626145,similar,True,True,burgers1d nu=0.002 | burgers_long_lbfgs
final_results,burgers1d,burgers_more_points,nu,0.002,0.048778716474771444,0.046523612511057855,2,2,467.52426171302795,670.5011596679688,0.05046572536230085,0.0504671326492033,0.9537686899801896,1.0000278859937581,similar,True,True,burgers1d nu=0.002 | final_results
burgers_long_lbfgs,burgers1d,adam3000_lbfgs5000_inner5_resample200,nu,0.005,0.0478018335998058,0.0519076759178343,1,1,694.5072250366211,5001.841319561005,0.0520223304629325,0.05205925036943,1.0858929879636496,1.0007096934368176,similar,True,True,burgers1d nu=0.005 | burgers_long_lbfgs
heat1d_precision,heat1d,heat1d_precision,alpha,0.1,0.00039682135199346666,0.00047251183252939997,3,3,89.41172965367635,164.38523284594217,0.00039682135199346666,0.00047251183252939997,1.1907419551788119,1.1907419551788119,similar,True,True,heat1d alpha=0.1 | heat1d_precision
