variant,beta,dtype,best_l2_median,best_l2_min,final_l2_median,ok_1e_2,ok_5e_2,time_median
lbfgs_grid_t4,30.0,fp32,0.006611044984310865,0.006611044984310865,0.006611044984310865,1.0,1.0,391.45881175994873
lbfgs_grid_t4,30.0,fp64,0.010180578926038839,0.010180578926038839,0.0104210207454427,0.0,1.0,1364.334602355957
lbfgs_grid_t4,50.0,fp32,0.8505832552909851,0.8505832552909851,0.8505832552909851,0.0,0.0,403.3929817676544
lbfgs_grid_t4,50.0,fp64,0.8581250754380461,0.8581250754380461,1.885598995013883,0.0,0.0,1701.893218755722
