task_name,variant,case_name,case_value,dtype,best_l2_error_mean,best_l2_error_std,best_l2_error_min,best_l2_error_max,final_l2_error_mean,final_l2_error_std,final_l2_error_min,final_l2_error_max,elapsed_time_mean,elapsed_time_std,elapsed_time_min,elapsed_time_max
burgers1d,burgers_more_points,nu,0.001,fp16,,,,,,,,,825.6915247440338,3.015747275666312,823.5590693950653,827.8239800930023
burgers1d,burgers_more_points,nu,0.001,fp32,0.09484540857374668,0.07646429561069593,0.04077698662877083,0.14891383051872253,0.09619902446866035,0.07809966445572548,0.040974222123622894,0.15142382681369781,502.503981590271,8.245472886882133,496.6735517978668,508.33441138267517
burgers1d,burgers_more_points,nu,0.001,fp64,0.16996909949227545,0.00958785622477774,0.16318946133869347,0.17674873764585747,0.17199977352653492,0.006716049464769146,0.16725080940721238,0.17674873764585747,663.7351713180542,0.8279485393630425,663.1497232913971,664.3206193447113
burgers1d,burgers_more_points,nu,0.002,fp16,,,,,,,,,830.8590404987335,2.2926894296049376,829.2378642559052,832.4802167415619
burgers1d,burgers_more_points,nu,0.002,fp32,0.0487787164747715,0.0022310592309923672,0.04720111936330795,0.050356313586235046,0.05046572536230087,0.0001269515760708767,0.050375957041978836,0.05055549368262291,467.52426171302795,38.16489282531039,440.53760719299316,494.51091623306274
burgers1d,burgers_more_points,nu,0.002,fp64,0.046523612511057924,0.0003345551213400742,0.04628704631607767,0.04676017870603818,0.050467132649203314,8.063722457463112e-05,0.05041011352089053,0.0505241517775161,670.5011596679688,11.927544641591487,662.0671119689941,678.9352073669434
convection1d,convection_beta30_lbfgs_grid,beta,30.0,fp16,1.0009765625,,1.0009765625,1.0009765625,1.0009765625,,1.0009765625,1.0009765625,567.1753952503204,801.6940596655156,0.29208922386169434,1134.0587012767792
convection1d,convection_beta30_lbfgs_grid,beta,30.0,fp32,0.010941238608211279,0.004104571599543137,0.008038868196308613,0.013843609020113945,0.010941238608211279,0.004104571599543137,0.008038868196308613,0.013843609020113945,473.15411031246185,7.865082574793244,467.5926570892334,478.7155635356903
convection1d,convection_beta30_lbfgs_grid,beta,30.0,fp64,0.00662537073765772,0.00016582034743404535,0.006508118045528396,0.006742623429787042,0.006710488283064528,4.544596032382907e-05,0.006678353136342014,0.006742623429787042,450.42433869838715,77.26883378842072,395.7870223522186,505.06165504455566
convection1d,convection_beta50_wide_lbfgs,beta,50.0,fp16,1.0205078125,,1.0205078125,1.0205078125,,,,,1431.7947599887848,,1431.7947599887848,1431.7947599887848
convection1d,convection_beta50_wide_lbfgs,beta,50.0,fp32,0.6873066425323486,,0.6873066425323486,0.6873066425323486,0.6873066425323486,,0.6873066425323486,0.6873066425323486,1088.6382277011871,,1088.6382277011871,1088.6382277011871
convection1d,convection_beta50_wide_lbfgs,beta,50.0,fp64,0.007181807439978906,,0.007181807439978906,0.007181807439978906,0.007181807439978906,,0.007181807439978906,0.007181807439978906,2370.150009393692,,2370.150009393692,2370.150009393692
helmholtz1d,helmholtz_resample_long,m,8.0,fp16,,,,,,,,,398.5707758665085,0.8485838049813702,397.9707365036011,399.1708152294159
helmholtz1d,helmholtz_resample_long,m,8.0,fp32,0.00324988248758018,0.00013271581614924944,0.003156038234010339,0.0033437267411500216,0.00324988248758018,0.00013271581614924944,0.003156038234010339,0.0033437267411500216,131.20890057086945,0.5647810884501094,130.80954003334045,131.60826110839844
helmholtz1d,helmholtz_resample_long,m,8.0,fp64,0.1154494445335914,0.16174872214830757,0.0010758262542644114,0.2298230628129184,0.11544955907526591,0.1617488841346971,0.0010758262542644114,0.2298232918962674,124.9479467868805,9.898675264701826,117.94852638244629,131.9473671913147
helmholtz1d,helmholtz_resample_long,m,12.0,fp16,,,,,,,,,399.55469608306885,1.2363592564537316,398.68045806884766,400.42893409729004
helmholtz1d,helmholtz_resample_long,m,12.0,fp32,0.012530514737591147,0.008680562614397957,0.0063924300484359264,0.01866859942674637,0.012530514737591147,0.008680562614397957,0.0063924300484359264,0.01866859942674637,141.17965424060822,0.30533958753293355,140.96374654769897,141.39556193351746
helmholtz1d,helmholtz_resample_long,m,12.0,fp64,0.0021135880520116194,0.0013733374058534516,0.001142491859475502,0.003084684244547737,0.0025480609936873334,0.0007588998792515229,0.0020114377428269293,0.003084684244547737,141.01174306869507,0.9196314218657604,140.36146545410156,141.66202068328857
