task_name,variant,case_name,case_value,fp16_best_l2_error_mean,fp32_best_l2_error_mean,fp64_best_l2_error_mean,fp16_final_l2_error_mean,fp32_final_l2_error_mean,fp64_final_l2_error_mean,fp64_over_fp32_best,fp16_over_fp32_best,fp64_over_fp32_final,fp16_over_fp32_final
burgers1d,burgers_more_points,nu,0.001,,0.09484540857374668,0.16996909949227545,,0.09619902446866035,0.17199977352653492,1.7920646033183212,,1.787957564814692,
burgers1d,burgers_more_points,nu,0.002,,0.0487787164747715,0.046523612511057924,,0.05046572536230087,0.050467132649203314,0.9537686899801899,,1.000027885993758,
convection1d,convection_beta30_lbfgs_grid,beta,30.0,1.0009765625,0.010941238608211279,0.00662537073765772,1.0009765625,0.010941238608211279,0.006710488283064528,0.6055411982959088,91.48658559998665,0.6133207147158257,91.48658559998665
convection1d,convection_beta50_wide_lbfgs,beta,50.0,1.0205078125,0.6873066425323486,0.007181807439978906,,0.6873066425323486,0.007181807439978906,0.010449204176927315,1.484792593797708,0.010449204176927315,
helmholtz1d,helmholtz_resample_long,m,8.0,,0.00324988248758018,0.1154494445335914,,0.00324988248758018,0.11544955907526591,35.52419048220834,,35.52422572707487,
helmholtz1d,helmholtz_resample_long,m,12.0,,0.012530514737591147,0.0021135880520116194,,0.012530514737591147,0.0025480609936873334,0.16867527761416873,,0.20334846948012686,
