task_name,dtype,seed,alpha,hid_size,num_layers,init_gain,n_collocation,point_mode,n_ic,n_bc,adam_steps,lbfgs_steps,lbfgs_max_iter,lbfgs_max_eval,lbfgs_lr,resample_every,final_loss,final_l2_error,time_sec,log_dir,nu,run_id,run_name,variant,case_name,case_value,lr_adam,lbfgs_history_size,lbfgs_tolerance_grad,lbfgs_tolerance_change,lbfgs_line_search_fn,best_l2_error,best_step,elapsed_time,m,lambda_val,hard_bc,bc_weight,beta,n_grid,error
helmholtz1d,fp32,1,"{'m': 8, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,,5000,,0,2,10000,1000,1,,1.0,200,1.4262478771343012e-06,0.0033437267411500216,130.80954003334045,final/runs/run014_helmholtz1d_helmholtz_resample_long_m8_fp32_s1,,14,run014_helmholtz1d_helmholtz_resample_long_m8_fp32_s1,helmholtz_resample_long,m,8.0,0.0005,50,1e-08,1e-09,strong_wolfe,0.0033437267411500216,10300.0,130.80954003334045,8.0,1.0,False,1.0,,,
helmholtz1d,fp64,0,"{'m': 8, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,,5000,,0,2,10000,1000,1,,1.0,200,1.7426919943344067e-06,0.0010758262542644114,131.9473671913147,final/runs/run015_helmholtz1d_helmholtz_resample_long_m8_fp64_s0,,15,run015_helmholtz1d_helmholtz_resample_long_m8_fp64_s0,helmholtz_resample_long,m,8.0,0.0005,50,1e-08,1e-09,strong_wolfe,0.0010758262542644114,10300.0,131.9473671913147,8.0,1.0,False,1.0,,,
helmholtz1d,fp64,1,"{'m': 8, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,,5000,,0,2,10000,1000,1,,1.0,200,1.2407168123295201e-05,0.2298232918962674,117.94852638244629,final/runs/run016_helmholtz1d_helmholtz_resample_long_m8_fp64_s1,,16,run016_helmholtz1d_helmholtz_resample_long_m8_fp64_s1,helmholtz_resample_long,m,8.0,0.0005,50,1e-08,1e-09,strong_wolfe,0.2298230628129184,10000.0,117.94852638244629,8.0,1.0,False,1.0,,,
helmholtz1d,fp16,0,"{'m': 8, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,,5000,,0,2,10000,1000,1,,1.0,200,,,399.1708152294159,final/runs/run017_helmholtz1d_helmholtz_resample_long_m8_fp16_s0,,17,run017_helmholtz1d_helmholtz_resample_long_m8_fp16_s0,helmholtz_resample_long,m,8.0,0.0005,50,1e-08,1e-09,strong_wolfe,,,399.1708152294159,8.0,1.0,False,1.0,,,
helmholtz1d,fp16,1,"{'m': 8, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,,5000,,0,2,10000,1000,1,,1.0,200,,,397.9707365036011,final/runs/run018_helmholtz1d_helmholtz_resample_long_m8_fp16_s1,,18,run018_helmholtz1d_helmholtz_resample_long_m8_fp16_s1,helmholtz_resample_long,m,8.0,0.0005,50,1e-08,1e-09,strong_wolfe,,,397.9707365036011,8.0,1.0,False,1.0,,,
helmholtz1d,fp32,0,"{'m': 12, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,,5000,,0,2,10000,1000,1,,1.0,200,1.3776952982880175e-06,0.01866859942674637,140.96374654769897,final/runs/run019_helmholtz1d_helmholtz_resample_long_m12_fp32_s0,,19,run019_helmholtz1d_helmholtz_resample_long_m12_fp32_s0,helmholtz_resample_long,m,12.0,0.0005,50,1e-08,1e-09,strong_wolfe,0.01866859942674637,11000.0,140.96374654769897,12.0,1.0,False,1.0,,,
helmholtz1d,fp32,1,"{'m': 12, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,,5000,,0,2,10000,1000,1,,1.0,200,2.1725672922912054e-06,0.0063924300484359264,141.39556193351746,final/runs/run020_helmholtz1d_helmholtz_resample_long_m12_fp32_s1,,20,run020_helmholtz1d_helmholtz_resample_long_m12_fp32_s1,helmholtz_resample_long,m,12.0,0.0005,50,1e-08,1e-09,strong_wolfe,0.0063924300484359264,11000.0,141.39556193351746,12.0,1.0,False,1.0,,,
helmholtz1d,fp64,0,"{'m': 12, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,,5000,,0,2,10000,1000,1,,1.0,200,2.030532768650081e-06,0.003084684244547737,141.66202068328857,final/runs/run021_helmholtz1d_helmholtz_resample_long_m12_fp64_s0,,21,run021_helmholtz1d_helmholtz_resample_long_m12_fp64_s0,helmholtz_resample_long,m,12.0,0.0005,50,1e-08,1e-09,strong_wolfe,0.003084684244547737,11000.0,141.66202068328857,12.0,1.0,False,1.0,,,
helmholtz1d,fp64,1,"{'m': 12, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,,5000,,0,2,10000,1000,1,,1.0,200,1.8073795158368656e-06,0.0020114377428269293,140.36146545410156,final/runs/run022_helmholtz1d_helmholtz_resample_long_m12_fp64_s1,,22,run022_helmholtz1d_helmholtz_resample_long_m12_fp64_s1,helmholtz_resample_long,m,12.0,0.0005,50,1e-08,1e-09,strong_wolfe,0.001142491859475502,10900.0,140.36146545410156,12.0,1.0,False,1.0,,,
helmholtz1d,fp16,0,"{'m': 12, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,,5000,,0,2,10000,1000,1,,1.0,200,,,398.68045806884766,final/runs/run023_helmholtz1d_helmholtz_resample_long_m12_fp16_s0,,23,run023_helmholtz1d_helmholtz_resample_long_m12_fp16_s0,helmholtz_resample_long,m,12.0,0.0005,50,1e-08,1e-09,strong_wolfe,,,398.68045806884766,12.0,1.0,False,1.0,,,
