source_path,run_name,task_name,dtype,seed,variant,beta,nu,m,alpha,hid_size,num_layers,n_collocation,n_ic,n_bc,adam_steps,lr_adam,lbfgs_steps,lbfgs_lr,lbfgs_max_iter,lbfgs_tolerance_grad,lbfgs_tolerance_change,lbfgs_line_search_fn,resample_every,best_l2_error,final_l2_error,best_step,final_step,elapsed_time,error,metrics_path,summary_path,main_parameter_name,main_parameter_value,missing_metrics,metrics_has_l2,is_valid,is_bad,bad_reason,quality_label,case_id
final/final 2/runs/run012_burgers1d_burgers_more_points_nu0p002_fp16_s1,run012_burgers1d_burgers_more_points_nu0p002_fp16_s1,burgers1d,fp16,1.0,burgers_more_points,,0.002,,,256.0,4.0,10000.0,800.0,800.0,3000.0,5e-05,2000.0,0.5,5.0,1e-08,1e-10,strong_wolfe,200.0,,,,,832.4802167415619,,final/final 2/runs/run012_burgers1d_burgers_more_points_nu0p002_fp16_s1/metrics.csv,final/final 2/runs/run012_burgers1d_burgers_more_points_nu0p002_fp16_s1/summary.json,nu,0.002,False,True,False,True,nan_metric,bad,burgers_nu0002
final/final 2/runs/run007_burgers1d_burgers_more_points_nu0p002_fp32_s0,run007_burgers1d_burgers_more_points_nu0p002_fp32_s0,burgers1d,fp32,0.0,burgers_more_points,,0.002,,,256.0,4.0,10000.0,800.0,800.0,3000.0,5e-05,2000.0,0.5,5.0,1e-08,1e-10,strong_wolfe,200.0,0.050356313586235,0.05055549368262291,4200.0,5000.0,440.53760719299316,,final/final 2/runs/run007_burgers1d_burgers_more_points_nu0p002_fp32_s0/metrics.csv,final/final 2/runs/run007_burgers1d_burgers_more_points_nu0p002_fp32_s0/summary.json,nu,0.002,False,True,True,False,ok,acceptable,burgers_nu0002
final/final 2/runs/run008_burgers1d_burgers_more_points_nu0p002_fp32_s1,run008_burgers1d_burgers_more_points_nu0p002_fp32_s1,burgers1d,fp32,1.0,burgers_more_points,,0.002,,,256.0,4.0,10000.0,800.0,800.0,3000.0,5e-05,2000.0,0.5,5.0,1e-08,1e-10,strong_wolfe,200.0,0.0472011193633079,0.050375957041978836,3900.0,5000.0,494.51091623306274,,final/final 2/runs/run008_burgers1d_burgers_more_points_nu0p002_fp32_s1/metrics.csv,final/final 2/runs/run008_burgers1d_burgers_more_points_nu0p002_fp32_s1/summary.json,nu,0.002,False,True,True,False,ok,acceptable,burgers_nu0002
final/final 2/runs/run009_burgers1d_burgers_more_points_nu0p002_fp64_s0,run009_burgers1d_burgers_more_points_nu0p002_fp64_s0,burgers1d,fp64,0.0,burgers_more_points,,0.002,,,256.0,4.0,10000.0,800.0,800.0,3000.0,5e-05,2000.0,0.5,5.0,1e-08,1e-10,strong_wolfe,200.0,0.0467601787060381,0.0505241517775161,3600.0,5000.0,662.0671119689941,,final/final 2/runs/run009_burgers1d_burgers_more_points_nu0p002_fp64_s0/metrics.csv,final/final 2/runs/run009_burgers1d_burgers_more_points_nu0p002_fp64_s0/summary.json,nu,0.002,False,True,True,False,ok,acceptable,burgers_nu0002
final/final 2/runs/run010_burgers1d_burgers_more_points_nu0p002_fp64_s1,run010_burgers1d_burgers_more_points_nu0p002_fp64_s1,burgers1d,fp64,1.0,burgers_more_points,,0.002,,,256.0,4.0,10000.0,800.0,800.0,3000.0,5e-05,2000.0,0.5,5.0,1e-08,1e-10,strong_wolfe,200.0,0.0462870463160776,0.05041011352089053,3800.0,5000.0,678.9352073669434,,final/final 2/runs/run010_burgers1d_burgers_more_points_nu0p002_fp64_s1/metrics.csv,final/final 2/runs/run010_burgers1d_burgers_more_points_nu0p002_fp64_s1/summary.json,nu,0.002,False,True,True,False,ok,acceptable,burgers_nu0002
final/final 2/runs/run005_burgers1d_burgers_more_points_nu0p001_fp16_s0,run005_burgers1d_burgers_more_points_nu0p001_fp16_s0,burgers1d,fp16,0.0,burgers_more_points,,0.001,,,256.0,4.0,10000.0,800.0,800.0,3000.0,5e-05,2000.0,0.5,5.0,1e-08,1e-10,strong_wolfe,200.0,,,,,823.5590693950653,,final/final 2/runs/run005_burgers1d_burgers_more_points_nu0p001_fp16_s0/metrics.csv,final/final 2/runs/run005_burgers1d_burgers_more_points_nu0p001_fp16_s0/summary.json,nu,0.001,False,True,False,True,nan_metric,bad,burgers_nu0001
final/final 2/runs/run006_burgers1d_burgers_more_points_nu0p001_fp16_s1,run006_burgers1d_burgers_more_points_nu0p001_fp16_s1,burgers1d,fp16,1.0,burgers_more_points,,0.001,,,256.0,4.0,10000.0,800.0,800.0,3000.0,5e-05,2000.0,0.5,5.0,1e-08,1e-10,strong_wolfe,200.0,,,,,827.8239800930023,,final/final 2/runs/run006_burgers1d_burgers_more_points_nu0p001_fp16_s1/metrics.csv,final/final 2/runs/run006_burgers1d_burgers_more_points_nu0p001_fp16_s1/summary.json,nu,0.001,False,True,False,True,nan_metric,bad,burgers_nu0001
final/final 2/runs/run001_burgers1d_burgers_more_points_nu0p001_fp32_s0,run001_burgers1d_burgers_more_points_nu0p001_fp32_s0,burgers1d,fp32,0.0,burgers_more_points,,0.001,,,256.0,4.0,10000.0,800.0,800.0,3000.0,5e-05,2000.0,0.5,5.0,1e-08,1e-10,strong_wolfe,200.0,0.0407769866287708,0.040974222123622894,4700.0,5000.0,496.6735517978668,,final/final 2/runs/run001_burgers1d_burgers_more_points_nu0p001_fp32_s0/metrics.csv,final/final 2/runs/run001_burgers1d_burgers_more_points_nu0p001_fp32_s0/summary.json,nu,0.001,False,True,True,False,ok,acceptable,burgers_nu0001
final/final 2/runs/run002_burgers1d_burgers_more_points_nu0p001_fp32_s1,run002_burgers1d_burgers_more_points_nu0p001_fp32_s1,burgers1d,fp32,1.0,burgers_more_points,,0.001,,,256.0,4.0,10000.0,800.0,800.0,3000.0,5e-05,2000.0,0.5,5.0,1e-08,1e-10,strong_wolfe,200.0,0.1489138305187225,0.15142382681369781,4100.0,5000.0,508.33441138267517,,final/final 2/runs/run002_burgers1d_burgers_more_points_nu0p001_fp32_s1/metrics.csv,final/final 2/runs/run002_burgers1d_burgers_more_points_nu0p001_fp32_s1/summary.json,nu,0.001,False,True,True,False,ok,bad,burgers_nu0001
final/final 2/runs/run003_burgers1d_burgers_more_points_nu0p001_fp64_s0,run003_burgers1d_burgers_more_points_nu0p001_fp64_s0,burgers1d,fp64,0.0,burgers_more_points,,0.001,,,256.0,4.0,10000.0,800.0,800.0,3000.0,5e-05,2000.0,0.5,5.0,1e-08,1e-10,strong_wolfe,200.0,0.1767487376458574,0.17674873764585747,5000.0,5000.0,663.1497232913971,,final/final 2/runs/run003_burgers1d_burgers_more_points_nu0p001_fp64_s0/metrics.csv,final/final 2/runs/run003_burgers1d_burgers_more_points_nu0p001_fp64_s0/summary.json,nu,0.001,False,True,True,False,ok,bad,burgers_nu0001
final/final 2/runs/run004_burgers1d_burgers_more_points_nu0p001_fp64_s1,run004_burgers1d_burgers_more_points_nu0p001_fp64_s1,burgers1d,fp64,1.0,burgers_more_points,,0.001,,,256.0,4.0,10000.0,800.0,800.0,3000.0,5e-05,2000.0,0.5,5.0,1e-08,1e-10,strong_wolfe,200.0,0.1631894613386934,0.16725080940721238,4300.0,5000.0,664.3206193447113,,final/final 2/runs/run004_burgers1d_burgers_more_points_nu0p001_fp64_s1/metrics.csv,final/final 2/runs/run004_burgers1d_burgers_more_points_nu0p001_fp64_s1/summary.json,nu,0.001,False,True,True,False,ok,bad,burgers_nu0001
final/final/runs/run013_helmholtz1d_helmholtz_main_m8_fp32_s0,run013_helmholtz1d_helmholtz_main_m8_fp32_s0,helmholtz1d,fp32,0.0,helmholtz_main,,,8.0,,128.0,4.0,4000.0,0.0,256.0,2000.0,0.0001,3000.0,0.3,5.0,1e-08,1e-10,strong_wolfe,500.0,0.999987244606018,1.0000067949295044,100.0,5000.0,129.00251841545105,,final/final/runs/run013_helmholtz1d_helmholtz_main_m8_fp32_s0/metrics.csv,final/final/runs/run013_helmholtz1d_helmholtz_main_m8_fp32_s0/summary.json,m,8.0,False,True,True,True,high_best_l2,bad,helmholtz_m8
final/final/runs/run014_helmholtz1d_helmholtz_main_m8_fp32_s1,run014_helmholtz1d_helmholtz_main_m8_fp32_s1,helmholtz1d,fp32,1.0,helmholtz_main,,,8.0,,128.0,4.0,4000.0,0.0,256.0,2000.0,0.0001,3000.0,0.3,5.0,1e-08,1e-10,strong_wolfe,500.0,0.0038419985212385,0.0038419985212385654,2300.0,5000.0,159.5469765663147,,final/final/runs/run014_helmholtz1d_helmholtz_main_m8_fp32_s1/metrics.csv,final/final/runs/run014_helmholtz1d_helmholtz_main_m8_fp32_s1/summary.json,m,8.0,False,True,True,False,ok,good,helmholtz_m8
final/final/runs/run015_helmholtz1d_helmholtz_main_m8_fp64_s0,run015_helmholtz1d_helmholtz_main_m8_fp64_s0,helmholtz1d,fp64,0.0,helmholtz_main,,,8.0,,128.0,4.0,4000.0,0.0,256.0,2000.0,0.0001,3000.0,0.3,5.0,1e-08,1e-10,strong_wolfe,500.0,0.0004160223984903,0.0004160223984903055,2600.0,5000.0,193.43422603607178,,final/final/runs/run015_helmholtz1d_helmholtz_main_m8_fp64_s0/metrics.csv,final/final/runs/run015_helmholtz1d_helmholtz_main_m8_fp64_s0/summary.json,m,8.0,False,True,True,False,ok,good,helmholtz_m8
final/final/runs/run016_helmholtz1d_helmholtz_main_m8_fp64_s1,run016_helmholtz1d_helmholtz_main_m8_fp64_s1,helmholtz1d,fp64,1.0,helmholtz_main,,,8.0,,128.0,4.0,4000.0,0.0,256.0,2000.0,0.0001,3000.0,0.3,5.0,1e-08,1e-10,strong_wolfe,500.0,0.0013466870615191,0.00134668706151912,2800.0,5000.0,228.36030387878418,,final/final/runs/run016_helmholtz1d_helmholtz_main_m8_fp64_s1/metrics.csv,final/final/runs/run016_helmholtz1d_helmholtz_main_m8_fp64_s1/summary.json,m,8.0,False,True,True,False,ok,good,helmholtz_m8
