variant,m,dtype,best_l2_median,best_l2_min,final_l2_median,ok_1e_2,ok_5e_2,time_median
resample_proven_128,8,fp32,0.0022322519216686487,0.0022322519216686487,0.0022322519216686487,1.0,1.0,127.70034313201904
resample_proven_128,8,fp64,0.0010758262542644114,0.0010758262542644114,0.0010758262542644114,1.0,1.0,128.07416677474976
resample_proven_128,12,fp32,0.01866859942674637,0.01866859942674637,0.01866859942674637,0.0,1.0,139.69180274009705
resample_proven_128,12,fp64,0.003084684244547737,0.003084684244547737,0.003084684244547737,1.0,1.0,139.5144064426422
resample_wide_256,8,fp32,0.23730650544166565,0.23730650544166565,0.23730650544166565,0.0,0.0,122.66413736343384
resample_wide_256,8,fp64,0.9991073065903948,0.9991073065903948,2.205890885713629,0.0,0.0,147.1932294368744
resample_wide_256,12,fp32,0.9996394515037537,0.9996394515037537,1.0000007152557373,0.0,0.0,196.79501867294312
resample_wide_256,12,fp64,0.9992590815203,0.9992590815203,1.0000014776554678,0.0,0.0,101.71176409721375
