variant,beta,fp32,fp64,fp64_over_fp32
lbfgs_grid_t4,30.0,0.006611044984310865,0.010180578926038839,1.5399349044211745
lbfgs_grid_t4,50.0,0.8505832552909851,0.8581250754380461,1.0088666454461073
