task_name,dtype,seed,alpha,hid_size,num_layers,init_gain,n_collocation,point_mode,n_ic,n_bc,adam_steps,lbfgs_steps,lbfgs_max_iter,lbfgs_max_eval,lbfgs_lr,resample_every,final_loss,final_l2_error,time_sec,log_dir,nu,run_id,run_name,variant,case_name,case_value,lr_adam,lbfgs_history_size,lbfgs_tolerance_grad,lbfgs_tolerance_change,lbfgs_line_search_fn,best_l2_error,best_step,elapsed_time,error,m,lambda_val,hard_bc,bc_weight,beta,n_grid
helmholtz1d,fp64,0,"{'m': 8, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,1.0,4000,,0,256,2000,3000,5,,0.3,500,8.136932494988812e-07,0.0004160223984903055,193.43422603607178,final/runs/run015_helmholtz1d_helmholtz_main_m8_fp64_s0,,15,run015_helmholtz1d_helmholtz_main_m8_fp64_s0,helmholtz_main,m,8.0,0.0001,100,1e-08,1e-10,strong_wolfe,0.0004160223984903055,2600.0,193.43422603607178,,8.0,1.0,False,1.0,,
helmholtz1d,fp64,1,"{'m': 8, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,1.0,4000,,0,256,2000,3000,5,,0.3,500,1.2185156640404201e-06,0.00134668706151912,228.36030387878418,final/runs/run016_helmholtz1d_helmholtz_main_m8_fp64_s1,,16,run016_helmholtz1d_helmholtz_main_m8_fp64_s1,helmholtz_main,m,8.0,0.0001,100,1e-08,1e-10,strong_wolfe,0.00134668706151912,2800.0,228.36030387878418,,8.0,1.0,False,1.0,,
helmholtz1d,fp16,0,,128,4,1.0,4000,,0,256,2000,3000,5,,0.3,500,,,0.0012488365173339844,final/runs/run017_helmholtz1d_helmholtz_main_m8_fp16_s0,,17,run017_helmholtz1d_helmholtz_main_m8_fp16_s0,helmholtz_main,m,8.0,0.0001,100,1e-08,1e-10,strong_wolfe,,,0.0012488365173339844,Unsupported dtype,8.0,,,,,
helmholtz1d,fp16,1,,128,4,1.0,4000,,0,256,2000,3000,5,,0.3,500,,,0.0025146007537841797,final/runs/run018_helmholtz1d_helmholtz_main_m8_fp16_s1,,18,run018_helmholtz1d_helmholtz_main_m8_fp16_s1,helmholtz_main,m,8.0,0.0001,100,1e-08,1e-10,strong_wolfe,,,0.0025146007537841797,Unsupported dtype,8.0,,,,,
helmholtz1d,fp32,0,"{'m': 12, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,1.0,4000,,0,256,2000,3000,5,,0.3,500,0.49126407504081726,1.0000014305114746,463.9616062641144,final/runs/run019_helmholtz1d_helmholtz_main_m12_fp32_s0,,19,run019_helmholtz1d_helmholtz_main_m12_fp32_s0,helmholtz_main,m,12.0,0.0001,100,1e-08,1e-10,strong_wolfe,0.9999876022338867,100.0,463.9616062641144,,12.0,1.0,False,1.0,,
helmholtz1d,fp32,1,"{'m': 12, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,1.0,4000,,0,256,2000,3000,5,,0.3,500,0.4991081655025482,1.0000020265579224,126.84246683120728,final/runs/run020_helmholtz1d_helmholtz_main_m12_fp32_s1,,20,run020_helmholtz1d_helmholtz_main_m12_fp32_s1,helmholtz_main,m,12.0,0.0001,100,1e-08,1e-10,strong_wolfe,1.0000020265579224,2000.0,126.84246683120728,,12.0,1.0,False,1.0,,
helmholtz1d,fp64,0,"{'m': 12, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,1.0,4000,,0,256,2000,3000,5,,0.3,500,0.505821438570456,1.0000033657196872,63.43539643287659,final/runs/run021_helmholtz1d_helmholtz_main_m12_fp64_s0,,21,run021_helmholtz1d_helmholtz_main_m12_fp64_s0,helmholtz_main,m,12.0,0.0001,100,1e-08,1e-10,strong_wolfe,1.0000011560006528,900.0,63.43539643287659,,12.0,1.0,False,1.0,,
helmholtz1d,fp64,1,"{'m': 12, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,1.0,4000,,0,256,2000,3000,5,,0.3,500,0.500117066629057,1.0000017130041805,127.59801888465881,final/runs/run022_helmholtz1d_helmholtz_main_m12_fp64_s1,,22,run022_helmholtz1d_helmholtz_main_m12_fp64_s1,helmholtz_main,m,12.0,0.0001,100,1e-08,1e-10,strong_wolfe,0.999026778702152,1.0,127.59801888465881,,12.0,1.0,False,1.0,,
helmholtz1d,fp16,0,,128,4,1.0,4000,,0,256,2000,3000,5,,0.3,500,,,0.0011496543884277344,final/runs/run023_helmholtz1d_helmholtz_main_m12_fp16_s0,,23,run023_helmholtz1d_helmholtz_main_m12_fp16_s0,helmholtz_main,m,12.0,0.0001,100,1e-08,1e-10,strong_wolfe,,,0.0011496543884277344,Unsupported dtype,12.0,,,,,
helmholtz1d,fp16,1,,128,4,1.0,4000,,0,256,2000,3000,5,,0.3,500,,,0.0012402534484863281,final/runs/run024_helmholtz1d_helmholtz_main_m12_fp16_s1,,24,run024_helmholtz1d_helmholtz_main_m12_fp16_s1,helmholtz_main,m,12.0,0.0001,100,1e-08,1e-10,strong_wolfe,,,0.0012402534484863281,Unsupported dtype,12.0,,,,,
convection1d,fp32,0,30.0,256,3,1.0,6561,grid,81,81,1500,2500,5,,0.3,0,0.45723921060562134,1.165643334388733,149.76725888252258,final/runs/run025_convection1d_convection_beta30_beta30p0_fp32_s0,,25,run025_convection1d_convection_beta30_beta30p0_fp32_s0,convection_beta30,beta,30.0,0.0001,100,1e-08,1e-10,strong_wolfe,1.0000845193862915,100.0,149.76725888252258,,,,,,30.0,81.0
convection1d,fp32,1,30.0,256,3,1.0,6561,grid,81,81,1500,2500,5,,0.3,0,0.4559457302093506,1.1762380599975586,121.40864157676697,final/runs/run026_convection1d_convection_beta30_beta30p0_fp32_s1,,26,run026_convection1d_convection_beta30_beta30p0_fp32_s1,convection_beta30,beta,30.0,0.0001,100,1e-08,1e-10,strong_wolfe,1.0002951622009277,100.0,121.40864157676697,,,,,,30.0,81.0
convection1d,fp64,0,30.0,256,3,1.0,6561,grid,81,81,1500,2500,5,,0.3,0,1.714574452014065e-05,0.011723988075289378,493.2554762363434,final/runs/run027_convection1d_convection_beta30_beta30p0_fp64_s0,,27,run027_convection1d_convection_beta30_beta30p0_fp64_s0,convection_beta30,beta,30.0,0.0001,100,1e-08,1e-10,strong_wolfe,0.011463680649087449,3700.0,493.2554762363434,,,,,,30.0,81.0
convection1d,fp64,1,30.0,256,3,1.0,6561,grid,81,81,1500,2500,5,,0.3,0,4.09713305036666e-06,0.003462193128460786,493.2104723453522,final/runs/run028_convection1d_convection_beta30_beta30p0_fp64_s1,,28,run028_convection1d_convection_beta30_beta30p0_fp64_s1,convection_beta30,beta,30.0,0.0001,100,1e-08,1e-10,strong_wolfe,0.003462193128460786,4000.0,493.2104723453522,,,,,,30.0,81.0
convection1d,fp16,0,,256,3,1.0,6561,grid,81,81,1500,2500,5,,0.3,0,,,0.0009517669677734375,final/runs/run029_convection1d_convection_beta30_beta30p0_fp16_s0,,29,run029_convection1d_convection_beta30_beta30p0_fp16_s0,convection_beta30,beta,30.0,0.0001,100,1e-08,1e-10,strong_wolfe,,,0.0009517669677734375,Unsupported dtype,,,,,30.0,81.0
convection1d,fp16,1,,256,3,1.0,6561,grid,81,81,1500,2500,5,,0.3,0,,,0.0010933876037597656,final/runs/run030_convection1d_convection_beta30_beta30p0_fp16_s1,,30,run030_convection1d_convection_beta30_beta30p0_fp16_s1,convection_beta30,beta,30.0,0.0001,100,1e-08,1e-10,strong_wolfe,,,0.0010933876037597656,Unsupported dtype,,,,,30.0,81.0
convection1d,fp32,0,50.0,256,3,1.0,6561,grid,81,81,2000,3000,5,,0.2,0,0.010690229944884777,0.741241991519928,539.1432015895844,final/runs/run031_convection1d_convection_beta50_beta50p0_fp32_s0,,31,run031_convection1d_convection_beta50_beta50p0_fp32_s0,convection_beta50,beta,50.0,5e-05,100,1e-08,1e-10,strong_wolfe,0.741241991519928,5000.0,539.1432015895844,,,,,,50.0,81.0
convection1d,fp64,0,50.0,256,3,1.0,6561,grid,81,81,2000,3000,5,,0.2,0,0.009752877232301076,0.7004091523132202,593.8341155052185,final/runs/run032_convection1d_convection_beta50_beta50p0_fp64_s0,,32,run032_convection1d_convection_beta50_beta50p0_fp64_s0,convection_beta50,beta,50.0,5e-05,100,1e-08,1e-10,strong_wolfe,0.7004091523132202,5000.0,593.8341155052185,,,,,,50.0,81.0
convection1d,fp16,0,,256,3,1.0,6561,grid,81,81,2000,3000,5,,0.2,0,,,0.00127410888671875,final/runs/run033_convection1d_convection_beta50_beta50p0_fp16_s0,,33,run033_convection1d_convection_beta50_beta50p0_fp16_s0,convection_beta50,beta,50.0,5e-05,100,1e-08,1e-10,strong_wolfe,,,0.00127410888671875,Unsupported dtype,,,,,50.0,81.0
