step,opt,total_loss,pde_loss,ic_loss,bc_loss,l2_error,time_sec
1,adam,0.6953113625345515,0.5019737595746676,0.0,0.19333760295988395,1.095575023994471,0.023350954055786133
100,adam,0.5018675737161445,0.5018518328646726,0.0,1.574085147188885e-05,1.0046240011997052,1.0661566257476807
200,adam,0.5013533818330346,0.5013525029413924,0.0,8.788916421402493e-07,1.0057561380944298,2.10845947265625
300,adam,0.5019611359382739,0.5019601477722371,0.0,9.8816603674794e-07,1.0026104087306376,3.1551501750946045
400,adam,0.4979119137430778,0.49791049048535174,0.0,1.4232577260545809e-06,0.997334259240361,4.203904628753662
500,adam,0.47183420007647414,0.47183342310945686,0.0,7.769670172928796e-07,0.9870149108204771,5.251863956451416
600,adam,0.35743569462259767,0.3574327631991204,0.0,2.9314234772913924e-06,1.056876499904471,6.303727149963379
700,adam,0.28439605318950995,0.2843959005949585,0.0,1.5259455146041448e-07,1.7269086079252074,7.356147050857544
800,adam,0.22659963872221509,0.2265509578762186,0.0,4.868084599648464e-05,1.1588701177175484,8.38664960861206
900,adam,0.15835092725234987,0.15596339816275542,0.0,0.002387529089594448,1.103582108643703,9.420977354049683
1000,adam,0.0970690508148412,0.09678335977481313,0.0,0.0002856910400280647,0.8494802844809409,10.466746091842651
1100,adam,0.046496235012401216,0.04649118931416724,0.0,5.0456982339698295e-06,2.2544416180498454,11.519038915634155
1200,adam,0.020595860634195804,0.020595002207382664,0.0,8.584268131382059e-07,3.614989942117787,12.562761783599854
1300,adam,0.013799776516649225,0.013799311569404915,0.0,4.649472443099589e-07,3.40368815276777,13.608150720596313
1400,adam,0.009508431302446097,0.009361436849278315,0.0,0.00014699445316778152,2.9358548448827646,14.660564661026001
1500,adam,0.006148674935852696,0.006148607997917168,0.0,6.693793552896972e-08,2.418522258859587,15.707247257232666
1600,adam,0.003971624122684254,0.0039715529880556075,0.0,7.113462864700008e-08,1.9847194703298825,16.75925922393799
1700,adam,0.0072632094870235045,0.0025411771830035207,0.0,0.004722032304019984,1.5504756057931532,17.81224775314331
1800,adam,0.0014770271466100478,0.001476895327963711,0.0,1.3181864633665087e-07,1.2151053027621441,18.868507146835327
1900,adam,0.001555564364071085,0.0009539793254229277,0.0,0.0006015850386481574,0.9838197998613412,19.931900024414062
2000,adam,0.0005028992474743123,0.0005026977081499267,0.0,2.0153932438558433e-07,0.7257526389407417,20.990352392196655
2100,adam,0.00032355459473546686,0.0003112139818776096,0.0,1.2340612857857238e-05,0.5642285016353211,22.039280891418457
2200,adam,0.00015987020770423817,0.00015963177589694048,0.0,2.3843180729767955e-07,0.4090790266710058,23.089346170425415
2300,adam,0.0001391816355692175,0.00013231671463102967,0.0,6.864920938187832e-06,0.36823429135513097,24.14141011238098
2400,adam,7.353844473461418e-05,7.353146620716543e-05,0.0,6.978527448750284e-09,0.26515559686417123,25.195083618164062
2500,adam,0.0001037616428809597,7.024091135507313e-05,0.0,3.352073152588657e-05,0.2500540114206867,26.25238347053528
2600,adam,4.349845278158814e-05,4.342991580663093e-05,0.0,6.853697495720849e-08,0.18141314588535873,27.314618587493896
2700,adam,0.0003386016196743476,6.307039459807518e-05,0.0,0.00027553122507627243,0.2066797985739198,28.375539541244507
2800,adam,3.527859596256033e-05,3.5216489113113736e-05,0.0,6.210684944659211e-08,0.15235839719618094,29.431527853012085
2900,adam,0.0002235524044444559,3.142680600457673e-05,0.0,0.00019212559843987916,0.1102751342377229,30.48710298538208
3000,adam,3.3796086178946134e-05,3.363995600432521e-05,0.0,1.5613017462092148e-07,0.15014732087589877,31.540881872177124
3100,adam,2.4926670192692373e-05,2.4925454822454214e-05,0.0,1.2153702381580306e-09,0.1105357376168993,32.59095239639282
3200,adam,0.0016134822769178967,0.00010122440219670494,0.0,0.0015122578747211917,0.1897147807361611,33.64863204956055
3300,adam,2.4690154955495876e-05,2.4618010326400525e-05,0.0,7.214462909535142e-08,0.12231832771035583,34.70421576499939
3400,adam,1.810856933226745e-05,1.810810207197644e-05,0.0,4.672602910092392e-10,0.08316223071079212,35.75718545913696
