task_name,dtype,seed,alpha,hid_size,num_layers,init_gain,n_collocation,point_mode,n_ic,n_bc,adam_steps,lbfgs_steps,lbfgs_max_iter,lbfgs_max_eval,lbfgs_lr,resample_every,final_loss,final_l2_error,time_sec,log_dir,m,lambda_val,hard_bc,bc_weight,run_id,run_name,variant,adam_name,lbfgs_name,lr_adam,best_l2_error,elapsed_time
helmholtz1d,fp32,0,"{'m': 10, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",192,4,,8000,,0,2,5000,1000,10,,0.5,250,1.0251779940517736e-06,0.002027308102697134,232.1364152431488,/kaggle/working/results_exp_16_helmholtz1d_exploded_inner10/runs/exp16_r011_m10_width192_adam1e4_lbfgs05_steps1000_inner10_resample250_fp32_s0,10,1.0,False,1.0,11,exp16_r011_m10_width192_adam1e4_lbfgs05_steps1000_inner10_resample250_fp32_s0,width192_adam1e4_lbfgs05_steps1000_inner10_resample250,adam1e4,lbfgs05,0.0001,0.002027308102697134,232.1364152431488
helmholtz1d,fp64,0,"{'m': 10, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",192,4,,8000,,0,2,5000,1000,10,,0.5,250,1.968490737754109e-07,0.0031373256013443544,1135.7603976726532,/kaggle/working/results_exp_16_helmholtz1d_exploded_inner10/runs/exp16_r012_m10_width192_adam1e4_lbfgs05_steps1000_inner10_resample250_fp64_s0,10,1.0,False,1.0,12,exp16_r012_m10_width192_adam1e4_lbfgs05_steps1000_inner10_resample250_fp64_s0,width192_adam1e4_lbfgs05_steps1000_inner10_resample250,adam1e4,lbfgs05,0.0001,0.0031373256013443544,1135.7603976726532
helmholtz1d,fp32,0,"{'m': 12, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,,8000,,0,2,5000,1000,10,,1.0,250,1.2457712728064507e-06,0.01925165392458439,171.96420979499817,/kaggle/working/results_exp_16_helmholtz1d_exploded_inner10/runs/exp16_r013_m12_width128_adam5e4_lbfgs1_steps1000_inner10_resample250_fp32_s0,12,1.0,False,1.0,13,exp16_r013_m12_width128_adam5e4_lbfgs1_steps1000_inner10_resample250_fp32_s0,width128_adam5e4_lbfgs1_steps1000_inner10_resample250,adam5e4,lbfgs1,0.0005,0.01925165392458439,171.96420979499817
helmholtz1d,fp64,0,"{'m': 12, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,,8000,,0,2,5000,1000,10,,1.0,250,9.863767282737376e-07,0.0022187468437881723,1111.5089881420135,/kaggle/working/results_exp_16_helmholtz1d_exploded_inner10/runs/exp16_r014_m12_width128_adam5e4_lbfgs1_steps1000_inner10_resample250_fp64_s0,12,1.0,False,1.0,14,exp16_r014_m12_width128_adam5e4_lbfgs1_steps1000_inner10_resample250_fp64_s0,width128_adam5e4_lbfgs1_steps1000_inner10_resample250,adam5e4,lbfgs1,0.0005,0.0015403160228110071,1111.5089881420135
helmholtz1d,fp32,0,"{'m': 12, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,,8000,,0,2,5000,1000,10,,0.5,250,1.5165143167905626e-06,0.004136345349252224,180.58161401748657,/kaggle/working/results_exp_16_helmholtz1d_exploded_inner10/runs/exp16_r015_m12_width128_adam5e4_lbfgs05_steps1000_inner10_resample250_fp32_s0,12,1.0,False,1.0,15,exp16_r015_m12_width128_adam5e4_lbfgs05_steps1000_inner10_resample250_fp32_s0,width128_adam5e4_lbfgs05_steps1000_inner10_resample250,adam5e4,lbfgs05,0.0005,0.004136345349252224,180.58161401748657
helmholtz1d,fp64,0,"{'m': 12, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,,8000,,0,2,5000,1000,10,,0.5,250,3.1684320282974415e-07,0.0004848110103655996,962.5384855270386,/kaggle/working/results_exp_16_helmholtz1d_exploded_inner10/runs/exp16_r016_m12_width128_adam5e4_lbfgs05_steps1000_inner10_resample250_fp64_s0,12,1.0,False,1.0,16,exp16_r016_m12_width128_adam5e4_lbfgs05_steps1000_inner10_resample250_fp64_s0,width128_adam5e4_lbfgs05_steps1000_inner10_resample250,adam5e4,lbfgs05,0.0005,0.00016988584081645486,962.5384855270386
helmholtz1d,fp32,0,"{'m': 12, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,,8000,,0,2,5000,1000,10,,1.0,250,2.1664560335921124e-05,0.05604704096913338,208.7237946987152,/kaggle/working/results_exp_16_helmholtz1d_exploded_inner10/runs/exp16_r017_m12_width128_adam2e4_lbfgs1_steps1000_inner10_resample250_fp32_s0,12,1.0,False,1.0,17,exp16_r017_m12_width128_adam2e4_lbfgs1_steps1000_inner10_resample250_fp32_s0,width128_adam2e4_lbfgs1_steps1000_inner10_resample250,adam2e4,lbfgs1,0.0002,0.05604704096913338,208.7237946987152
helmholtz1d,fp64,0,"{'m': 12, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,,8000,,0,2,5000,1000,10,,1.0,250,5.793102148362963e-07,0.005673287416293913,1208.9829967021942,/kaggle/working/results_exp_16_helmholtz1d_exploded_inner10/runs/exp16_r018_m12_width128_adam2e4_lbfgs1_steps1000_inner10_resample250_fp64_s0,12,1.0,False,1.0,18,exp16_r018_m12_width128_adam2e4_lbfgs1_steps1000_inner10_resample250_fp64_s0,width128_adam2e4_lbfgs1_steps1000_inner10_resample250,adam2e4,lbfgs1,0.0002,0.005652024866962728,1208.9829967021942
helmholtz1d,fp32,0,"{'m': 12, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,,8000,,0,2,5000,1000,10,,0.5,250,2.5625937269069254e-05,0.044969309121370316,196.8427906036377,/kaggle/working/results_exp_16_helmholtz1d_exploded_inner10/runs/exp16_r019_m12_width128_adam2e4_lbfgs05_steps1000_inner10_resample250_fp32_s0,12,1.0,False,1.0,19,exp16_r019_m12_width128_adam2e4_lbfgs05_steps1000_inner10_resample250_fp32_s0,width128_adam2e4_lbfgs05_steps1000_inner10_resample250,adam2e4,lbfgs05,0.0002,0.044969309121370316,196.8427906036377
helmholtz1d,fp64,0,"{'m': 12, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,,8000,,0,2,5000,1000,10,,0.5,250,6.80110414245509e-07,0.0074743191822439084,1214.99245262146,/kaggle/working/results_exp_16_helmholtz1d_exploded_inner10/runs/exp16_r020_m12_width128_adam2e4_lbfgs05_steps1000_inner10_resample250_fp64_s0,12,1.0,False,1.0,20,exp16_r020_m12_width128_adam2e4_lbfgs05_steps1000_inner10_resample250_fp64_s0,width128_adam2e4_lbfgs05_steps1000_inner10_resample250,adam2e4,lbfgs05,0.0002,0.0074743191822439084,1214.99245262146
helmholtz1d,fp32,0,"{'m': 12, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,,8000,,0,2,5000,1000,10,,1.0,250,5.766022695752326e-06,0.013622098602354527,190.59286975860596,/kaggle/working/results_exp_16_helmholtz1d_exploded_inner10/runs/exp16_r021_m12_width128_adam1e4_lbfgs1_steps1000_inner10_resample250_fp32_s0,12,1.0,False,1.0,21,exp16_r021_m12_width128_adam1e4_lbfgs1_steps1000_inner10_resample250_fp32_s0,width128_adam1e4_lbfgs1_steps1000_inner10_resample250,adam1e4,lbfgs1,0.0001,0.013622098602354527,190.59286975860596
helmholtz1d,fp64,0,"{'m': 12, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,,8000,,0,2,5000,1000,10,,1.0,250,4.5150885055843215e-07,0.0006440133369841172,1219.9605793952942,/kaggle/working/results_exp_16_helmholtz1d_exploded_inner10/runs/exp16_r022_m12_width128_adam1e4_lbfgs1_steps1000_inner10_resample250_fp64_s0,12,1.0,False,1.0,22,exp16_r022_m12_width128_adam1e4_lbfgs1_steps1000_inner10_resample250_fp64_s0,width128_adam1e4_lbfgs1_steps1000_inner10_resample250,adam1e4,lbfgs1,0.0001,0.0003458913456201884,1219.9605793952942
helmholtz1d,fp32,0,"{'m': 12, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,,8000,,0,2,5000,1000,10,,0.5,250,8.408235771639738e-06,0.08826058357954025,174.48082184791565,/kaggle/working/results_exp_16_helmholtz1d_exploded_inner10/runs/exp16_r023_m12_width128_adam1e4_lbfgs05_steps1000_inner10_resample250_fp32_s0,12,1.0,False,1.0,23,exp16_r023_m12_width128_adam1e4_lbfgs05_steps1000_inner10_resample250_fp32_s0,width128_adam1e4_lbfgs05_steps1000_inner10_resample250,adam1e4,lbfgs05,0.0001,0.08826058357954025,174.48082184791565
helmholtz1d,fp64,0,"{'m': 12, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,,8000,,0,2,5000,1000,10,,0.5,250,5.799285278273165e-07,0.002975599025482136,985.8151581287384,/kaggle/working/results_exp_16_helmholtz1d_exploded_inner10/runs/exp16_r024_m12_width128_adam1e4_lbfgs05_steps1000_inner10_resample250_fp64_s0,12,1.0,False,1.0,24,exp16_r024_m12_width128_adam1e4_lbfgs05_steps1000_inner10_resample250_fp64_s0,width128_adam1e4_lbfgs05_steps1000_inner10_resample250,adam1e4,lbfgs05,0.0001,0.0024585988389089816,985.8151581287384
