task_name,variant,case_name,case_value,fp32_best_l2_error_mean,fp64_best_l2_error_mean,fp32_final_l2_error_mean,fp64_final_l2_error_mean,fp64_over_fp32_best,fp64_over_fp32_final,fp64_result
burgers1d,burgers_more_points,nu,0.001,0.0948454085737466,0.1699690994922754,0.0961990244686603,0.1719997735265349,1.7920646033183212,1.787957564814692,fp32 better
burgers1d,burgers_more_points,nu,0.002,0.0487787164747715,0.0465236125110579,0.0504657253623008,0.0504671326492033,0.95376868998019,1.000027885993758,similar
convection1d,convection_beta30_lbfgs_grid,beta,30.0,0.0109412386082112,0.0066253707376577,0.0109412386082112,0.0067104882830645,0.6055411982959088,0.6133207147158257,fp64 better
convection1d,convection_beta50_wide_lbfgs,beta,50.0,0.6873066425323486,0.0071818074399789,0.6873066425323486,0.0071818074399789,0.0104492041769273,0.0104492041769273,fp64 better
helmholtz1d,helmholtz_resample_long,m,8.0,0.0032498824875801,0.1154494445335914,0.0032498824875801,0.1154495590752659,35.52419048220834,35.52422572707487,fp32 better
helmholtz1d,helmholtz_resample_long,m,12.0,0.0125305147375911,0.0021135880520116,0.0125305147375911,0.0025480609936873,0.1686752776141687,0.2033484694801268,fp64 better
