task_name,variant,case_name,case_value,dtype,best_l2_error_mean,best_l2_error_std,best_l2_error_min,best_l2_error_max,final_l2_error_mean,elapsed_time_mean
burgers1d,burgers_more_points,nu,0.001,fp32,0.0948454085737466,0.0764642956106959,0.0407769866287708,0.1489138305187225,0.0961990244686603,502.503981590271
burgers1d,burgers_more_points,nu,0.001,fp64,0.1699690994922754,0.0095878562247777,0.1631894613386934,0.1767487376458574,0.1719997735265349,663.7351713180542
burgers1d,burgers_more_points,nu,0.002,fp32,0.0487787164747715,0.0022310592309923,0.0472011193633079,0.050356313586235,0.0504657253623008,467.5242617130279
burgers1d,burgers_more_points,nu,0.002,fp64,0.0465236125110579,0.00033455512134,0.0462870463160776,0.0467601787060381,0.0504671326492033,670.5011596679688
convection1d,convection_beta30_lbfgs_grid,beta,30.0,fp32,0.0109412386082112,0.0041045715995431,0.0080388681963086,0.0138436090201139,0.0109412386082112,473.15411031246185
convection1d,convection_beta30_lbfgs_grid,beta,30.0,fp64,0.0066253707376577,0.000165820347434,0.0065081180455283,0.006742623429787,0.0067104882830645,450.42433869838715
convection1d,convection_beta50_wide_lbfgs,beta,50.0,fp32,0.6873066425323486,,0.6873066425323486,0.6873066425323486,0.6873066425323486,1088.6382277011871
convection1d,convection_beta50_wide_lbfgs,beta,50.0,fp64,0.0071818074399789,,0.0071818074399789,0.0071818074399789,0.0071818074399789,2370.150009393692
helmholtz1d,helmholtz_resample_long,m,8.0,fp32,0.0032498824875801,0.0001327158161492,0.0031560382340103,0.00334372674115,0.0032498824875801,131.20890057086945
helmholtz1d,helmholtz_resample_long,m,8.0,fp64,0.1154494445335914,0.1617487221483075,0.0010758262542644,0.2298230628129184,0.1154495590752659,124.9479467868805
helmholtz1d,helmholtz_resample_long,m,12.0,fp32,0.0125305147375911,0.0086805626143979,0.0063924300484359,0.0186685994267463,0.0125305147375911,141.17965424060822
helmholtz1d,helmholtz_resample_long,m,12.0,fp64,0.0021135880520116,0.0013733374058534,0.0011424918594755,0.0030846842445477,0.0025480609936873,141.01174306869507
