source,task_name,variant,case_name,case_value,best_l2_mean_fp32,best_l2_mean_fp64,count_fp32,count_fp64,elapsed_time_mean_fp32,elapsed_time_mean_fp64,final_l2_mean_fp32,final_l2_mean_fp64,fp64_over_fp32_best,fp64_over_fp32_final,result
burgers_long_lbfgs,burgers1d,adam3000_lbfgs5000_inner5_resample200,nu,0.001,0.2708814144134521,0.0995819415032934,1,1,690.6303808689117,5103.282606601715,0.2708814144134521,0.1003156039928465,0.367621904658617,0.3703303314849525,fp64 better
burgers_long_lbfgs,burgers1d,adam3000_lbfgs5000_inner5_resample200,nu,0.002,0.0477750860154628,0.0483794210626988,1,1,697.4383900165558,5115.536487817764,0.0506145767867565,0.0509173207038287,1.0126495857493676,1.0059813582626145,similar
burgers_long_lbfgs,burgers1d,adam3000_lbfgs5000_inner5_resample200,nu,0.005,0.0478018335998058,0.0519076759178343,1,1,694.5072250366211,5001.841319561005,0.0520223304629325,0.05205925036943,1.0858929879636496,1.0007096934368176,similar
final_results,burgers1d,burgers_more_points,nu,0.001,0.09484540857374665,0.1699690994922754,2,2,502.503981590271,663.7351713180542,0.0961990244686603,0.17199977352653484,1.7920646033183212,1.787957564814692,fp32 better
final_results,burgers1d,burgers_more_points,nu,0.002,0.048778716474771444,0.046523612511057855,2,2,467.52426171302795,670.5011596679688,0.05046572536230085,0.0504671326492033,0.9537686899801896,1.0000278859937581,similar
final_results,convection1d,convection_beta30_lbfgs_grid,beta,30.0,0.010941238608211251,0.0066253707376576505,2,2,473.15411031246185,450.42433869838715,0.010941238608211251,0.0067104882830644995,0.605541198295904,0.6133207147158247,fp64 better
final_results,convection1d,convection_beta50_wide_lbfgs,beta,50.0,0.6873066425323486,0.0071818074399789,1,1,1088.6382277011871,2370.150009393692,0.6873066425323486,0.0071818074399789,0.010449204176927306,0.010449204176927306,fp64 better
heat1d_precision,heat1d,heat1d_precision,alpha,0.1,0.00039682135199346666,0.00047251183252939997,3,3,89.41172965367635,164.38523284594217,0.00039682135199346666,0.00047251183252939997,1.1907419551788119,1.1907419551788119,similar
final_results,helmholtz1d,helmholtz_resample_long,m,8.0,0.00324988248758015,0.11544944453359139,2,2,131.20890057086945,124.9479467868805,0.00324988248758015,0.1154495590752659,35.52419048220867,35.5242257270752,fp32 better
final_results,helmholtz1d,helmholtz_resample_long,m,12.0,0.012530514737591099,0.0021135880520116,2,2,141.17965424060822,141.01174306869507,0.012530514737591099,0.0025480609936873,0.1686752776141678,0.203348469480125,fp64 better
helmholtz_inner10,helmholtz1d,width192_adam1e4_lbfgs05_steps1000_inner10_resample250,m,10.0,0.0020273081026971,0.0031373256013443,1,1,232.1364152431488,1135.7603976726532,0.0020273081026971,0.0031373256013443,1.5475327095918225,1.5475327095918225,fp32 better
helmholtz_inner10,helmholtz1d,width192_adam1e4_lbfgs1_steps1000_inner10_resample250,m,10.0,0.0042583378963172,0.0017293850808818,1,1,233.3694009780884,2331.5144913196564,0.0042583378963172,0.0045373991299425,0.40611739204102354,1.0655329004930876,fp64 better
helmholtz_inner10,helmholtz1d,width192_adam2e4_lbfgs05_steps1000_inner10_resample250,m,10.0,0.000743078882806,0.0017108366338082,1,1,236.48090600967407,1659.2657091617584,0.0020944373682141,0.0017108366338082,2.302362068678055,0.8168478369286395,fp32 better
helmholtz_inner10,helmholtz1d,width192_adam2e4_lbfgs1_steps1000_inner10_resample250,m,10.0,0.0010800919262692,0.0004881865048243,1,1,239.82848525047305,2334.76327753067,0.0010800919262692,0.0008971112197284,0.45198606984367484,0.8305878397102338,fp64 better
helmholtz_inner10,helmholtz1d,width192_adam5e4_lbfgs05_steps1000_inner10_resample250,m,10.0,0.0034369314089417,0.0025258841433677,1,1,201.71348094940183,1162.946890115738,0.0034369314089417,0.0103625617814471,0.7349242224608348,3.0150621436573686,similar
helmholtz_inner10,helmholtz1d,width192_adam5e4_lbfgs1_steps1000_inner10_resample250,m,10.0,0.0035879830829799,0.0004545846478039,1,1,217.91756987571716,2348.976495027542,0.0035879830829799,0.0004545846478039,0.12669643008081222,0.12669643008081222,fp64 better
